msn_016001_0001#0,"""ขอโทษที ตอนนี้ยุ่งอยู่นิดหน่อยน่ะ..."""
msn_016001_0002#0,"""ถ้าว่างลงเมื่อไหร่ค่อยมาคุยด้วยใหม่นะ โอเคไหม?"""
msn_016001_0101#0,"""อ๊ะ มาแล้วเหรอ! ขอบใจที่มานะ"""
msn_016001_0102#0,"""เข้าเรื่องเลยละกัน จะอธิบายให้ฟัง"""
msn_016001_0103#0,"""ดูเหมือน Ryuker Device จะสามารถพาไปสถานที่ที่ไม่มีใครรู้จักได้นะ"""
msn_016001_0104#0,"""เหมือนเป็น 'เกาะ' ว่างเปล่าขนาดใหญ่เลย แต่ก็นะ..."""
msn_016001_0105#0,"""นี่ไงล่ะ! จริงๆ แล้วมันเป็นสถานที่ที่สามารถ 'ติดตั้ง' วัตถุต่างๆ ได้อย่างอิสระเลยนะ!"""
msn_016001_0106#0,"""มันน่าจะเป็นเหมือนห้องลับที่มีพื้นที่เก็บข้อมูลขนาดใหญ่สำหรับเก็บวัตถุอะไรก็ได้ที่แปลงเป็นข้อมูลได้อะไรทำนองนั้นแหละ..."""
msn_016001_0107#0,"""ตามทฤษฎีแล้ว ก็คล้ายๆ กับระบบ Item Pack ล่ะนะ..."""
msn_016001_0108#0,"""เอาเถอะ จะขอข้ามรายละเอียดไปละกัน!"""
msn_016001_0109#0,"""ไปดูด้วยตาตัวเองจะเข้าใจได้เร็วกว่าเยอะ!"""
msn_016001_0110#0,"""เราเรียกที่นี่ว่า Creative Space น่ะ ตอนนี้ลองไปดูเองก่อนละกัน!"""
msn_016001_0111#0,"""หลังจากนั้น ฉันอยากจะให้เธอช่วยงานวิจัยฉันหน่อยน่ะ"""
msn_016001_0112#0,"""ไม่ต้องรีบหรอก ว่างเมื่อไหร่ก็บอกมาละกัน ไว้เจอกันนะ!"""
msn_016001_0201#0,"""ลองไปที่ Creative Space ดูสิ!"""
msn_016001_0202#0,"""ไปถึงแล้วจะติดต่อไปหา เข้าใจนะ?"""
msn_016001_0301#0,"""เราจะมาทำงานวิจัยเกี่ยวกับ Creative Space ด้วยกัน!"""
