name_7258#0,"""Arche"""
ssq_016034_0010#0,"""ดูเหมือนว่าจะมาถึงแล้วสินะ!"""
ssq_016034_0020#0,"""เอาล่ะ มาลองสร้าง Blueprint กันเถอะ!"""
ssq_016034_0030#0,"""...อ๊ะ จริงสิ"""
ssq_016034_0040#0,"""อันดับแรกคุณต้องติดตั้ง Blueprint Terminal ซะก่อนนะถึงจะทำได้"""
ssq_016034_0050#0,"""เลือก Blueprint Terminal จากรายการ Build Parts แล้ววางลงไปเลย!"""
ssq_016034_0060#0,"""พอมันเสร็จแล้ว ก็ลองใช้ฟีเจอร์ Edit Blueprints ดูสิ!"""
Guide_1#0,"""เปิดเมนู Build:"""
Guide_2#0,"""<%MainPaletteC>"""
Guide_3#0,"""ติดตั้ง Blueprint Terminal:"""
Guide_4#0,"""<%NormalAttack>"""
