name_7258#0,"""Arche"""
ssn_016010_0001#0,"""ยินดีต้อนรับกลับมา!"""
ssn_016010_0002#0,"""เป็นไงบ้าง? คิดยังไงกับ Creative Space ล่ะ? ถ้าสนใจขึ้นมาสักนิดก็คงจะดีใจนะ"""
ssn_016010_0003#0,"""แต่จะดีใจยิ่งกว่าถ้ามาช่วยงานวิจัยของฉันน่ะ!"""
ssn_016010_0004#0,"""ฉันยังมีเรื่องจะสอนอีกเยอะเลย ถ้ามีเวลาว่างก็บอกได้เลยนะ!"""
ssn_016010_0101#0,"""Creative Space น่าหลงใหลใช่มั้ยล่ะ?"""
ssn_016010_0102#0,"""มีอะไรอยากถามฉันมั้ย?"""
npc_menu_0001#0,"""รับ Side Task"""
npc_menu_0002#0,"""แลกเปลี่ยน Genesis Point"""
npc_menu_0003#0,"""ปิดเมนู"""
ssn_016010_0201#0,"""ยินดีต้อนรับกลับมา!"""
ssn_016010_0202#0,"""พอจะเข้าใจเรื่อง Genesis Point หรือยัง?"""
ssn_016010_0203#0,"""ถ้ามันทำให้สนใจ Creative Space มากขึ้น ฉันก็ดีใจนะ!"""
ssn_016010_0204#0,"""แต่จะดีใจยิ่งกว่าถ้ามาช่วยงานวิจัยของฉันต่ออีกหน่อย!"""
ssn_016010_0205#0,"""ฉันยังมีเรื่องจะสอนอีกเยอะเลย ถ้ามีเวลาว่างก็บอกได้เลยนะ!"""
ssn_016010_0301#0,"""ยินดีต้อนรับกลับมา!"""
ssn_016010_0302#0,"""พอจะเข้าใจวิธีจัดการ Build Part หรือยัง?"""
ssn_016010_0303#0,"""ฉันยังมีเรื่องจะสอนอีกเยอะเลย ถ้ามีเวลาว่างก็บอกได้เลยนะ!"""
ssn_016010_0401#0,"""ยินดีต้อนรับกลับมา!"""
ssn_016010_0402#0,"""ลองใช้ Entry Setting ให้เข้ากับสถานการณ์ของตัวเองดูสิ"""
ssn_016010_0403#0,"""ฉันยังมีเรื่องจะสอนอีกเยอะเลย ถ้ามีเวลาว่างก็บอกได้เลยนะ!"""
ssn_016010_0501#0,"""ยินดีต้อนรับกลับมา!"""
ssn_016010_0502#0,"""ตอนนี้ฉันไม่มีเรื่องอะไรจะสอนแล้วล่ะ!"""
ssn_016010_0503#0,"""หวังว่าจะสนุกและใช้ประโยชน์จาก Creative Space ให้เต็มที่นะ!"""
ssn_016010_0504#0,"""ถ้าค้นพบอะไรใหม่ๆ ก็อย่าลืมมาเล่าให้ฟังบ้างล่ะ!"""
