name_7258#0,"""Arche"""
msn_016000_000_0001#0,"""ไง! ฉันชื่อ Arche ศึกษาด้านสถาปัตยกรรมอยู่!"""
msn_016000_000_0002#0,"""ช่วงนี้กำลังศึกษาเกี่ยวกับกลไกของ Ryuker Device ทั่วโลกอยู่น่ะ"""
msn_016000_000_0003#0,"""ถ้าได้เรื่องอะไรจะมาบอกนะ!"""
msn_016000_000_0011#0,"""เฮ้! เธอนี่เอง! มาได้จังหวะพอดีเลย!"""
msn_016000_000_0012#0,"""ฉันเพิ่งจะค้นพบเรื่องยิ่งใหญ่เข้าให้แล้วล่ะ!"""
msn_016000_000_0013#0,"""ฟังก์ชันลับของ Ryuker Device ไง!"""
msn_016000_000_0014#0,"""ตอนที่กำลังลองปรับแต่งดู ฉันสามารถตั้งปลายทางเทเลพอร์ตไปยังพื้นที่ที่ไม่ได้ระบุไว้ได้ด้วยล่ะ"""
msn_016000_000_0015#0,"""...อืม พูดง่ายๆ ก็คือ อาจจะสามารถใช้เทเลพอร์ตไปยังสถานที่ที่ไม่มีใครรู้จักได้น่ะ"""
msn_016000_000_0016#0,"""ตอนนี้ยังกำลังศึกษาการทำงานของมันอยู่ แต่ก็สัมผัสได้ถึงความเป็นไปได้ใหม่ๆ เลยล่ะ!"""
msn_016000_000_0017#0,"""ถ้าได้เรื่องอะไรเพิ่มเติมจะมาบอกนะ!"""
msn_016000_000_0021#0,"""อาจจะสามารถใช้เทเลพอร์ตไปยังสถานที่ที่ไม่มีใครรู้จักได้ สัมผัสได้ถึงความเป็นไปได้ใหม่ๆ เลยล่ะ!"""
msn_016000_000_0022#0,"""ถ้าได้เรื่องอะไรเพิ่มเติมจะมาบอกนะ!"""
