Title#0,"""전격! 폴리탄 랜드!"""
Explanation#0,"""폴리탄 랜드에 온 걸 환영해!<br>내가 만든 퀘스트에서 놀아 보지 않을래?<br>규칙은 간단해. 정해진 시간 안에<br>적을 잔뜩 쓰러뜨려 고득점을 노리는 거야.<br>도중에 발생하는 이머전시 트라이얼은<br>스코어를 벌 기회니까 놓치지 마!<br>하이 스코어를 향해 힘내 달라고!<br>――――――――――――――――――――<br>룸 내 스코어 공유<br>제한 시간 경과 시 퀘스트 종료"""
SimpleExplanation#0,"""에너미를 격파해 스코어를 획득하라!"""
NpcComMsg1#0,"""폴리탄 랜드에 온 걸 환영해!<br>지금부터 얼마나 많은 에너미를 쓰러뜨릴지<br>스코어 어택에 도전해 보는 거야!"""
NpcComMsg2#0,"""퀘스트 도중 발생하는<br>이머전시 트라이얼에는<br>트라이얼 오더가 설정돼 있어"""
NpcComMsg3#0,"""그 트라이얼 오더를 달성하면<br>스코어 상승 배율이 올라가니까<br>적극적으로 도전해 고득점을 노려 줘!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
Area0S#0,"""시가지 에어리어 1"""
Area0L#0,"""아크스 쉽\u3000시가지 에어리어 1"""
Area1S#0,"""시가지 에어리어 2"""
Area1L#0,"""아크스 쉽\u3000시가지 에어리어 2"""
NPC_QUEST_START#0,"""자, 퀘스트 시작이야!<br>에너미를 마구 쓰러뜨리고<br>하이 스코어를 향해 힘내!"""
NPC_TIME_HALF#0,"""남은 시간은 이제 절반이야.<br>트라이얼 오더를 달성하고<br>배율을 올리면서 고득점을 노리는 거야!"""
NPC_TIME_1MIN#0,"""남은 시간은 이제 1분이야.<br>끝까지 포기하지 말고 힘내!"""
LINE_QUEST_START#0,"""에너미를 격파해 스코어를 획득하라!"""
LINE_TIME_1MIN#0,"""남은 시간, 앞으로 1분!"""
