un_061180_0010#0,"""よっ、相棒。<br>なんか二人きりで話すのも<br>久しぶりな気がするな。"""
un_061180_0020#0,"""状況は通達で聞いてるよ。<br>なんとか希望は見えてきたけど<br>まだまだ気は抜けないか。"""
un_061180_0030#0,"""前にも言ったかもしれないけど<br>おれもユク姉も、総務部だからさ。<br>出撃も仕事もあって、大忙しだよ。"""
un_061180_0040#0,"""って、んなこと言っても<br>守護輝士やってる相棒よりは<br>全然マシだろうけどさ。"""
un_061180_0050#0,"""でも、おれにできることがあるなら<br>どんな小さなことだって、頑張るよ。<br>相棒の手助けができるなら、な！"""
un_061180_0060#0,"""支えてくれるから頑張れる"""
un_061180_0070#0,"""それが次の、やりたいこと？"""
un_061180_0080#0,"""……そう言ってもらえると救われるよ。<br>ただ、結局は……自分の目標のためかも<br>知れないけどな。"""
un_061180_0090#0,"""はは……全部お見通しみたいだな。<br>もちろん相棒を助けたいって気持ちも<br>ウソじゃないけどさ。"""
un_061180_0100#0,"""いずれはさ。ユク姉とアウロラが<br>自由に生きていけるようにしたいって<br>思ってるんだ。"""
un_061180_0110#0,"""だってさ……<br>元ダークファルスだっていう負い目を<br>感じたまま、生きてくのはつらいだろ？"""
un_061180_0120#0,"""それが、おれが次に見つけた目標だよ。<br>相棒にはバレてたみたいだけど。"""
un_061180_0130#0,"""で、さらにその次の目標は<br>今度こそ、おれも実力つけて<br>相棒の隣に……"""
un_061180_0140#0,"""あっ……！<br>まずい、ユク姉と約束してたんだった。<br>すぐ行かなきゃ！"""
un_061180_0150#0,"""悪いな、相棒。<br>それじゃおれ、もう行くよ。<br>おたがい頑張ろうな！"""
