st_062080_0390#0,"""……シャオ。"""
st_062080_0400#0,"""シャオ。"""
st_062080_0410#0,"""シャオ！"""
st_062080_0420#0,"""シャオ！\u3000起きなさいよ、シャオ！<br>みんながあんたを待ってるのよ！"""
st_062080_0430#0,"""あんたがいないと、どうしようもないの！<br>あたしのことなんか気にしなくて良いから<br>この身体を使ってくれても良いから……！"""
st_062080_0440#0,"""目を覚ましなさい！"""
st_062080_0450#0,"""……ごめん、心にもないこと言った。<br>こんな言葉じゃ、誰にも届かない。"""
st_062080_0460#0,"""あたしは死にたくない。<br>この身体も、失いたくない。"""
st_062080_0470#0,"""そして何より<br>あたしはあんたと一緒にいたい。<br>そう、約束したから……"""
st_062080_0480#0,"""……ううん。これも違う。これも嘘。<br>あたしがあんたと一緒にいたいのは<br>最初に約束したからじゃない……"""
st_062080_0490#0,"""……このもやもやっとした理由を<br>どう言語化したらいいかわからない。\t<br>どう言えば伝わるのか、わからない。"""
st_062080_0500#0,"""でも、あたしはあんたと一緒にいたい。<br>一緒に笑って、怒って、喧嘩して……<br>いろんな事を見て、楽しんで……"""
st_062080_0510#0,"""一緒に、歩んでいきたいの。"""
st_062080_0520#0,"""シャオ。あたしはあんたと一緒にいたい。<br>あたしとあんたが一つになるんじゃなくて<br>それぞれ別の存在として。"""
st_062080_0530#0,"""並び立つ、ひととして。"""
st_062080_0540#0,"""だから……だからシャオ……<br>お願いよ、お願いだから……"""
st_062080_0550#0,"""戻ってきて……！"""
