un_061140_0010#0,"""おつかれさまですー。<br>はい、稼働データを受け取りますね。"""
un_061140_0020#0,"""……なるほど、こんな感じになるのか。<br>やっぱナマのデータは違うなあ。"""
un_061140_0030#0,"""駆動系の負荷がけっこうやばいな。<br>機動性を上げるためとは言え<br>耐久性を削ったのはよくなかったか……"""
un_061140_0040#0,"""あはは……<br>こうやって没頭しちゃうのを見てると<br>なんだか、シエラちゃんに似てない？"""
un_061140_0050#0,"""そういえば似てる"""
un_061140_0060#0,"""見た目は似てない"""
un_061140_0070#0,"""ね、そうだよね。<br>どことなく、遠い親戚みたいな……"""
un_061140_0080#0,"""もう、見た目の話じゃないよ。<br>お仕事に集中してる姿が<br>似てる気がするって思ったの。"""
un_061140_0090#0,"""でも、そんなことないよね。<br>シエラちゃんは、各艦にひとりだけの<br>ハイ・キャストだし……"""
un_061140_0100#0,"""まあ、似る面はあるかもですね。<br>なんせ、私もハイ・キャストなので。<br>リュドミラタイプの。"""
un_061140_0110#0,"""えっ？\u3000そうなの？"""
un_061140_0120#0,"""虚空機関が解体された後<br>アークスの組織改変に伴って<br>研究部が再編されました。"""
un_061140_0130#0,"""再編された研究部には<br>ルーサーのような天才はいないものの<br>各分野のエキスパートが多数いました。"""
un_061140_0140#0,"""そういった方々の知識や経験を<br>データベース化し、演算に特化した<br>モジュールに当てはめる。"""
un_061140_0150#0,"""そうして出来上がったのが私。<br>研究部所属のA.I.S研究開発特化型<br>ハイ・キャスト、リュドミラでーす。"""
un_061140_0160#0,"""そうなんだ！<br>シエラちゃん以外にも<br>ハイ・キャストっていたんだね。"""
un_061140_0170#0,"""はい。だから私には<br>A.I.Sを徹底的に研究・改良して<br>強化する義務があるんです。"""
un_061140_0180#0,"""というわけで、私の研究のため<br>A.I.Sを思う存分動かしまくって<br>データを取ってきてください。"""
un_061140_0190#0,"""では、おねがいしますねー。<br>さよならでーす。"""
un_061140_0200#0,"""あんな話を聞いちゃうと<br>A.I.Sの操縦が苦手でも協力しなきゃ！<br>……って、思っちゃうな。"""
un_061140_0210#0,"""うん、わたしも頑張る！<br>一緒に頑張ろうね！<br><%me>！"""
