Farma_010#0,"""팀 오더 수주를<br>확인했습니다!"""
Farma_020#0,"""그럼<br>잘 부탁드릴게요!"""
Ena_010#0,"""팀 오더 수주를 확인했습니다.<br>그럼 잘 부탁드립니다."""
Toria_010#0,"""…아, 그래.<br>…그 오더, 하는구나."""
Toria_020#0,"""…흐음.<br>…뭐, 힘내."""
Bende_010#0,"""어머, 그 의뢰를 맡으려고?"""
Bende_020#0,"""좋아, 접수 완료야.<br>힘내고 와."""
Anya_010#0,"""헐, 그 의뢰를 하겠다고?<br>진짜 웃기는데?"""
Anya_020#0,"""할 수 있다면 말리진 않겠지만<br>말만 앞서는 건 진짜 사양이거든."""
Mizen_010#0,"""의뢰 수주를 접수했습니다.<br>그럼 잘 부탁드립니다."""
Tessela_010#0,"""팀 오더 수주 등록이<br>완료됐어요!"""
Tessela_020#0,"""그럼 힘내서<br>클리어하고 오세요!"""
Zio_010#0,"""그렇군요, 그 오더를<br>수주하시겠습니까?"""
Zio_020#0,"""그럼 다녀오십시오."""
Kusui_010#0,"""아, 팀 오더 수주인가.<br>그래그래, 접수했어."""
Kusui_020#0,"""그럼 힘내고 오라고."""
Bianca_010#0,"""이 오더를 수주하는 것으로<br>괜찮으시겠습니까?"""
Bianca_020#0,"""그럼 다녀오십시오."""
Ricardo_010#0,"""수주할 오더는<br>이것이 맞으시지요?"""
Ricardo_020#0,"""부디 무리하지 마십시오."""
Suzuran_010#0,"""이 오더로 괜찮으신가요?"""
Suzuran_020#0,"""그럼, 힘내고 오세요."""
Rappy_010#0,"""삐삐!"""
Lillipa_010#0,"""리리!"""
