Farma_010#0,"""오더 달성을 확인했습니다!<br>수고하셨어요!"""
11_voice_shop_171#0,"""달성을 확인했습니다.<br>수고하셨습니다."""
11_voice_shop_181#0,"""…오더, 달성했구나.<br>…제법이네."""
Toria_020#0,"""…뭐, 다음에도 힘내든가."""
11_voice_shop_191#0,"""어머, 클리어했네?<br>대단한데."""
Bende_020#0,"""그럼, 여기 보상이야.<br>다음에도 잘 부탁해."""
11_voice_shop_201#0,"""오, 진짜 열심히 했나 보네?"""
Anya_020#0,"""그럼 보상 줄게-<br>자, 줬다-<br>그럼 안녕-"""
11_voice_shop_211#0,"""보고를 접수했습니다.<br>수고하셨습니다."""
11_voice_shop_221#0,"""오더 클리어 보고를<br>확인했습니다!<br>정말 수고 많으셨어요!"""
Tessela_020#0,"""이건 보상이에요!<br>받아 주세요!"""
11_voice_shop_231#0,"""기다리고 있었습니다.<br>보고도 확인했습니다."""
Zio_020#0,"""소문대로 훌륭한 활약이군요.<br>다음에도 잘 부탁드립니다."""
11_voice_shop_241#0,"""오, 돌아왔구나.<br>어디 보자, 보고를 확인해 볼까."""
Kusui_020#0,"""오케이, 문제없어.<br>그럼 이게 보상이야."""
11_voice_shop_341#0,"""훌륭한 성과입니다."""
11_voice_shop_331#0,"""훌륭한 솜씨입니다."""
11_voice_shop_351#0,"""좋은 성과네요."""
11_voice_shop_361#0,"""삐-!"""
11_voice_shop_371#0,"""리! 리!"""
