name_7211#0,"""Xandy"""
ssn_019450_002_0010#0,"""ขอบคุณที่มานะคะ"""
ssn_019450_002_0020#0,"""ที่เรียกคุณมา ก็เพราะอยากจะให้ช่วยสำรวจปรากฏการณ์<br>ที่กำลังเกิดขึ้นอยู่ตอนนี้น่ะค่ะ"""
ssn_019450_002_0030#0,"""ความจริงแล้ว ดูเหมือนว่าจำนวน Enemy ทั่วทั้ง Halpha<br>จะมีแนวโน้มเพิ่มขึ้นนะคะ"""
ssn_019450_002_0040#0,"""โดยเฉพาะ Enemy ที่มีสัญลักษณ์เฉพาะของช่วงเวลานี้<br>มีคนพบเห็นอยู่ทั่วทุกพื้นที่เลยค่ะ"""
ssn_019450_002_0050#0,"""เพื่อนำมาวิเคราะห์สถานการณ์<br>จะรบกวนช่วยรวบรวมข้อมูลให้หน่อยได้ไหมคะ?"""
ssn_019450_002_0060#0,"""อยากจะให้คุณช่วยส่งข้อมูล<br>ตอนที่คุณต่อสู้กับ Enemy ที่มีสัญลักษณ์มาให้น่ะค่ะ"""
ssn_019450_002_0070#0,"""ยังไงก็ฝากด้วยนะคะ"""
ssn_019450_002_0080#0,"""......อ๊ะ จริงสิ<br>เรื่องนี้ไม่เกี่ยวกับคำขอให้สำรวจหรอกนะคะ"""
ssn_019450_002_0090#0,"""ช่วงนี้ใน Aelio Region มีรายงานคนพบเห็น<br>สิ่งมีชีวิตปริศนาที่เรียกว่า 【 Lillipan 】 ด้วยนะคะ"""
ssn_019450_002_0100#0,"""ถ้าเกิดว่าคุณสนใจ<br>ลองไปตามหาก็ดูก็ได้นะคะ?"""
ssn_019450_002_0110#0,"""แล้วก็ มีอีกเรื่องนึงน่ะค่ะ..."""
ssn_019450_002_0120#0,"""คุณสนใจพวกสิ่งมีชีวิตน่ารักๆ ไหมคะ<br>พอดีตอนนี้มีคำขอความร่วมมือให้ไปสำรวจระบบนิเวศจากห้องวิจัยข้างๆ น่ะค่ะ"""
ssn_019450_002_0130#0,"""ถ้าเกิดว่าคุณสนใจ<br>ลองไปคุยกับ Noan ที่เป็นนักวิจัยสิ่งแวดล้อมแห่ง Halpha ดูนะคะ"""
ssn_019450_002_0140#0,"""เรื่องที่ฉันอยากจะบอกก็มีแค่นี้แหละค่ะ<br>ยังไงจะรอรับข้อมูลนะคะ"""
ssn_019450_002_0900#0,"""ตอนนี้กำลังตั้งใจสำรวจความเปลี่ยนแปลงของ Enemy ในช่วงเวลานี้อยู่นะคะ"""
ssn_019450_002_0910#0,"""ไม่ว่าจะเป็นข้อมูลเล็กน้อยแค่ไหน<br>ถ้าเอามาให้ฉันได้ก็จะช่วยได้มากเลยค่ะ"""
npc_menu_0010#0,"""แลกเปลี่ยนด้วยแต้มเทศกาล (จนถึง $(0))"""
npc_menu_0020#0,"""แลกเปลี่ยนด้วยแต้มเทศกาลครั้งก่อน (จนถึง $(0))"""
npc_menu_0030#0,"""แลกเปลี่ยนด้วยแร่ (จนถึง $(0))"""
npc_menu_0040#0,"""Item Recycle (จนถึง $(0))"""
npc_menu_0050#0,"""ถามเกี่ยวกับ Event เทศกาล"""
npc_menu_0060#0,"""ปิดเมนู"""
npc_menu_1010#0,"""เกี่ยวกับ 【 Event เทศกาล 】"""
npc_menu_1020#0,"""เกี่ยวกับ 【 Enemy เทศกาล 】"""
npc_menu_1030#0,"""เกี่ยวกับ 【 Lillipan 】"""
npc_menu_1040#0,"""เกี่ยวกับ 【 Region Mag เทศกาล 】"""
npc_menu_1050#0,"""เกี่ยวกับ 【 Randomite 】"""
npc_menu_2000#0,"""ไม่มีอะไรจะถาม"""
