un_050100_0001#0,"""A.P.241/12/24/17:30"""
un_050100_0010#0,"""하앗, 하앗…… 윽!"""
un_050100_0020#0,"""이런……!"""
un_050100_0030#0,"""아……"""
un_050100_0040#0,"""……저 뒷모습은.<br>내가 줄곧 뒤쫓던 모습……?"""
un_050100_0050#0,"""감사합니다!<br>덕분에 살았어요!"""
un_050100_0060#0,"""아, 아뇨, 전 별로 한 것도……"""
un_050100_0070#0,"""언니, 고마워!<br>히어로처럼 멋있었어!"""
un_050100_0080#0,"""……！"""
un_050100_0090#0,"""맞아요, 언니는 히어로예요!<br>자, 어서 피하세요!"""
un_050100_0100#0,"""다들 올 때까지 조금만 더 버티면 돼!<br>저, 힘내겠습니다아!"""
name01#0,"""일반 시민(어머니)"""
name02#0,"""일반 시민(아이)"""
