un_050010_0001#0,"""A.P.241/9/29"""
un_050010_0010#0,"""찾았습니다, 사령관님!"""
un_050010_0020#0,"""뭐라고!?<br>완전히 사각이었는데……!<br>……어라?"""
un_050010_0030#0,"""……휴이 사령관님이 아니야?"""
un_050010_0040#0,"""죄, 죄송합니다! 죄송합니다!<br>사람을 잘못 보고 베려고 들다니<br>정말 최악의 짓을 했습니다!"""
un_050010_0050#0,"""강한 기운만 믿고 덤벼서<br>정말 죄송합니다……"""
un_050010_0060#0,"""왜 그러냐, 스트라토스!<br>벌써 지친 거야?"""
un_050010_0070#0,"""오, <%me>！<br>이런 곳에서 만나다니 반갑군!"""
un_050010_0080#0,"""설마 <%me><br>그 수호휘사인가요!?"""
un_050010_0090#0,"""아아아아……!<br>죄, 죄송합니다!<br>제가 정말 엄청난 짓을!"""
un_050010_0100#0,"""하하하, 그런 거였군.<br><%me><br>휘말리게 해서 미안하다."""
un_050010_0110#0,"""스트라토스도 보다시피<br>깊이 반성하고 있으니 용서해 주지 않을래?<br>내 얼굴을 봐서라도!"""
un_050010_0120#0,"""그 아이는 누구야?"""
un_050010_0130#0,"""뭘 하고 있었어?"""
un_050010_0140#0,"""아, 그러고 보니<br>아직 소개하지 않았군."""
un_050010_0150#0,"""그걸 설명하려면<br>우선 이 아이부터<br>소개하는 편이 좋겠군."""
un_050010_0160#0,"""전투부 신규 전술반 소속<br>스트라토스라고 합니다!"""
un_050010_0170#0,"""스트라토스는 수호휘사와 같은 3세대야.<br>이 나이에 이미 각 클래스의 기초를<br>모두 익힌 우리 유망주지."""
un_050010_0180#0,"""과찬이십니다!"""
un_050010_0190#0,"""참고로 신규 전술반은 말이야.<br>새로운 클래스의<br>실전 운용을 연구하는 곳이야."""
un_050010_0200#0,"""그런 연구에는 새로운 발상이 필요하지!<br>그래서 스트라토스를 뽑아<br>담당하게 했다!"""
un_050010_0210#0,"""과찬이십니다!"""
un_050010_0220#0,"""……다만 조금 난항을 겪고 있어.<br>여럿을 상대로 혼자 제압하는 방향으로<br>연구 중인데……허가가 안 나!"""
un_050010_0230#0,"""나와 클라리스 클레이스도 돕고 있지만<br>전투 방식이 이미 굳어서<br>새롭게 바꾸기가 어렵거든."""
un_050010_0240#0,"""죄송합니다……"""
un_050010_0250#0,"""그래서 <%me>！<br>괜찮다면 스트라토스의 상담 상대가<br>되어 주지 않을래?"""
un_050010_0260#0,"""네, 네!?<br>사령관님, 그건 너무 과분해요!"""
un_050010_0270#0,"""아크스에서 가장 자유롭게 재능을 펼치는 사람.<br>바로 <%me><br>함께 지내면 분명 큰 도움이 될 거야!"""
un_050010_0280#0,"""그리고 새 클래스를 가장 능숙하게<br>다룰 수 있는 아크스도 아마<br><%me> 한 사람뿐일 거야."""
un_050010_0290#0,"""<%me><br>뒤를 이을 아크스를 위해<br>도와주지 않을래?"""
un_050010_0300#0,"""맡겨 줘"""
un_050010_0310#0,"""너무 기대하지는 마"""
un_050010_0320#0,"""……정말 감사합니다!"""
un_050010_0330#0,"""후후, 겸손하군!<br>하지만 괜찮아. 분명 해낼 수 있어!<br>나는 알고 있거든!"""
un_050010_0340#0,"""<%me> 씨!<br>앞으로 잘 부탁드립니다!"""
un_050010_0350#0,"""바로 부탁드리고 싶은데<br>괜찮다면 최근 전투 기록을<br>들려주시겠어요? 꼭 부탁드려요!"""
