un_050110_0001#0,"""A.P.241/12/26"""
un_050110_0010#0,"""<%me> 씨!<br>저번 소동 이후로 처음이네요!<br>계속 인사드리러 오지 못해 죄송합니다!"""
un_050110_0020#0,"""부끄럽지만 지난번에 혼자 앞서 나간 일로<br>사령관님과 차석에게 꾸중을 듣고……<br>완전히 나을 때까지 쉬라는 명령을 받았습니다."""
un_050110_0030#0,"""아, 몸은 이제 괜찮습니다!<br>튼튼하고 회복이 빠른 게<br>제 장점이니까요!"""
un_050110_0040#0,"""<%me> 씨.<br>정말 감사했습니다."""
un_050110_0050#0,"""도움을 주신<br><%me> 씨 덕분에<br>히어로라는 클래스가 널리 알려졌습니다."""
un_050110_0060#0,"""아직 클래스로서는 발전하는 단계지만<br>앞으로도 모두가 힘을 모아 연구해 줄 겁니다.<br>……정말 감사할 따름입니다."""
un_050110_0070#0,"""……그리고."""
un_050110_0080#0,"""……정말 감사합니다."""
un_050110_0090#0,"""덕분에 제가 지금 이 자리에 있습니다."""
un_050110_0100#0,"""앞으로도 잘 부탁드립니다."""
un_050110_0105#0,"""……제 히어로."""
un_050110_0110#0,"""으음, 이러면 안 되겠네요!<br>이렇게 가라앉은 분위기는 저와 안 맞아요!"""
un_050110_0120#0,"""몸도 다 나아 복귀했으니<br>괜찮으시다면 <%me> 씨,<br>저와 함께 임무에 가시겠어요?"""
un_050110_0130#0,"""히어로의 전투 방식을<br>저에게 더, 더 많이 가르쳐 주세요!"""
skit01#0,"""The Hero"""
skit02#0,"""외전 소녀가 뒤쫓던 모습"""
name01#0,"""？？？"""
name02#0,"""？？？"""
