un_050090_0001#0,"""A.P.241/12/24 17:00"""
un_050090_0010#0,"""Th-There's so many of them...! But I have a job to do...!"""
un_050090_0020#0,"""Agh! Someone...help me...!"""
un_050090_0030#0,"""Huh?"""
un_050090_0040#0,"""Ah, um!"""
un_050090_0050#0,"""I never got to say thank you back then. So in return... I'm going to be just like them!"""
un_050090_0060#0,"""Haah!"""
un_050090_0070#0,"""Hahhhh!"""
un_050090_0080#0,"""Guh?!"""
un_050090_0090#0,"""<%me>! ...Thank you for coming!"""
name01#0,"""Stratos"""
name02#0,"""???"""
