un_050080_0001#0,"""A.P.241/12/24/16:00"""
un_050080_0010#0,"""신사 숙녀<br>여러부우운!"""
un_050080_0020#0,"""전 아크스 쉽에 생중계되는<br>세기의 전투 행사장에 온 걸 환영한다!"""
un_050080_0030#0,"""이번 행사를 진행할 사람은<br>모두에게 익숙한 전투부 사령관 휴이와!"""
un_050080_0040#0,"""전투부 차석 클라리스 클레이스다!<br>모두 잘 부탁한다!"""
un_050080_0050#0,"""새, 생각보다 일이 너무 커졌습니다……!<br>다들 축제 같은 행사를<br>너무 좋아하시는 거 아닌가요……!"""
un_050080_0060#0,"""역시 그만둘까요?"""
un_050080_0070#0,"""이제 즐기는 수밖에 없어"""
un_050080_0080#0,"""……아뇨!<br>이런 큰 무대에 설 기회는<br>좀처럼 없으니까요!"""
un_050080_0090#0,"""……네!<br>이렇게 된 이상 이 상황을 마음껏 즐기며<br>제대로 알려 보겠습니다!"""
un_050080_0100#0,"""게다가 수호휘사인<br><%me> 씨와 겨뤄 보는 것도<br>사실 정말 기대됩니다!"""
un_050080_0110#0,"""좋아아, 그럼<br>슬슬 선수 입장이다!"""
un_050080_0120#0,"""아크스라면 누구나 알고 있다!<br>살아 있는 전설이라 해도 지나치지 않지!<br>해결한 사건도, 받은 감사도 셀 수 없다!"""
un_050080_0130#0,"""수호휘사!<br><%me>！<br>샤오에게도 비밀로 하고 등장이다아!"""
un_050080_0140#0,"""그 수호휘사에게 맞서는 사람은<br>전투부 신규 전술반 소속의 젊은 유망주!<br>새 클래스 히어로의 창시자!"""
un_050080_0150#0,"""그 이름, 스트라토스!<br>쉼 없는 노력으로 여기까지 올라온 모습을<br>모두 눈에 새겨 둬라아!"""
un_050080_0160#0,"""이렇게 된 이상 할 수밖에 없습니다!<br>……<%me> 씨!<br>전력을 다해 주세요!"""
un_050080_0170#0,"""한창 재미있어지려는데!<br>뭐, 시가지에 다커 반응이라고!?<br>아무 전조도 없었는데!"""
un_050080_0180#0,"""아쉽지만 여흥은 중단이다!<br>구경하던 시민들은<br>아크스의 안내에 따라 대피해 줘!"""
un_050080_0190#0,"""시가지에 다커가……!"""
un_050080_0200#0,"""사령관님, 차석!<br>저는 당장 움직일 수 있습니다!<br>이대로 구조하러 가겠습니다!"""
un_050080_0210#0,"""무슨 소리야!<br>혼자 가면 위험해!"""
un_050080_0220#0,"""괜찮습니다!<br>저, 이래 봬도 우수하니까요!<br>……다녀오겠습니다!"""
un_050080_0230#0,"""앗, 잠깐, 스트라토스!"""
un_050080_0240#0,"""염치없지만……<br><%me> 힘을 빌려주겠나?"""
un_050080_0250#0,"""말하지 않아도 알아"""
un_050080_0260#0,"""맡겨 둬"""
un_050080_0270#0,"""……고맙다!"""
skit01#0,"""The Hero"""
skit02#0,"""외전 소녀가 뒤쫓던 모습"""
name01#0,"""？？？"""
name02#0,"""？？？"""
