un_050040_0001#0,"""A.P.241/10/17"""
un_050040_0010#0,"""아, 안녕하세요.<br>지난번에는 흥분해서<br>죄송했어요."""
un_050040_0020#0,"""그래도 히어로는 히어로예요.<br>이미 승인도 받았고요.<br>이 이름은 바뀌지 않을 거예요."""
un_050040_0030#0,"""이 이름은 제가 붙였어요.<br>이것밖에 없다고 생각했거든요."""
un_050040_0040#0,"""수호휘사와<br>모든 아크스는 히어로예요.<br>그 사실을 잊지 않았으면 해요."""
un_050040_0050#0,"""저는 몇 년 전 다커의 기습을 받은<br>아크스 쉽 제128번함 『테미스』 출신이에요."""
un_050040_0060#0,"""습격을 받았을 때 저는<br>아직 아크스가 아닌 어린아이였어요.<br>거주 구역에서 다커를 두려워했죠."""
un_050040_0070#0,"""……아, 여기서 죽는구나.<br>그렇게 생각했어요."""
un_050040_0080#0,"""그런데 그때 한 아크스가<br>다커 무리를 눈 깜짝할 사이에<br>쓰러뜨려 줬어요."""
un_050040_0090#0,"""직접 감사 인사도 못 하고<br>뒷모습을 잠깐 봤을 뿐이지만<br>……그 모습은 틀림없는 히어로였어요."""
un_050040_0100#0,"""저도 그렇게 되고 싶어요.<br>그렇게 누군가를 구하고<br>누군가에게 힘이 되고 싶어요……"""
un_050040_0110#0,"""그 마음을 계속 간직하려고<br>클래스에 그 이름을 붙였어요."""
un_050040_0120#0,"""모든 아크스는<br>스스로 생각하는 것보다 훨씬 더<br>훌륭한 히어로예요."""
un_050040_0130#0,"""그래서 클래스 이름으로 쓰면<br>더 많은 사람이 그렇게 생각할까 싶었어요.<br>……조금 주제넘은 생각이지만요."""
un_050040_0140#0,"""그러니 클래스 이름에 부끄럽지 않도록<br>저는 더욱더 노력해야<br>하는 거죠!"""
un_050040_0150#0,"""좋아, 의욕 충전 완료!<br>이야기 들어 주셔서<br>감사합니다!"""
