msc_023060_0010#0,"""…………."""
msc_023060_0020#0,"""はあ……."""
msc_023060_0030#0,"""どうしたの？"""
msc_023060_0040#0,"""大丈夫？"""
msc_023060_0050#0,"""えっ？"""
msc_023060_0060#0,"""ふぇ……？"""
msc_023060_0070#0,"""な、なんだ！<br><%me>か."""
msc_023060_0080#0,"""ご……ゴメン.<br>ちょっと考えごとしてた."""
msc_023060_0090#0,"""なにかあった？"""
msc_023060_0100#0,"""訓練のこと？"""
msc_023060_0110#0,"""……うん.<br>訓練で……."""
msc_023060_0120#0,"""……う、うん……."""
msc_023060_0130#0,"""……あたしって、<br>アークスの訓練、受けてないでしょ？"""
msc_023060_0140#0,"""お父さんも、武器の使いかたとか、<br>ぜんぜん教えてくれなかったし."""
msc_023060_0150#0,"""アークスになってからは、<br>キミとマノンの後ろにくっついて……."""
msc_023060_0160#0,"""なんとなく、<br>自分なりの戦いかたを身につけた."""
msc_023060_0170#0,"""だから……."""
msc_023060_0180#0,"""訓練生のみんなに、<br>体験を伝えようと思っても、うまくできなくって."""
msc_023060_0190#0,"""全部、感覚でやってきたから、<br>ことばが出てこなかったんだよね."""
msc_023060_0200#0,"""……で、あわあわしてたら、<br>みんな、困った顔になっちゃってさ."""
msc_023060_0210#0,"""ブルーダーが、フォローしてくれて、<br>なんとかなったんだけど……."""
msc_023060_0220#0,"""はぁ…….<br>うまく説明するのって、難しそうだなぁ."""
msc_023060_0230#0,"""どうしたらいいんだろう？"""
msc_023060_0240#0,"""そのブルーダーに頼ったら？"""
msc_023060_0250#0,"""いろんなヒトに訊いてみたら？"""
msc_023060_0260#0,"""ブルーダーは、<br>「まずは、自分のやりかたでやってみろ」って."""
msc_023060_0270#0,"""うーん.<br>でも、ほかのヒトに訊くのはアリなのかな？"""
msc_023060_0280#0,"""いろんな……ヒト？"""
msc_023060_0290#0,"""そうだなぁ、誰がいいのかな……."""
msc_023060_0300#0,"""あ、そうだ！"""
msc_023060_0310#0,"""あの子なら……きっと."""
msc_023060_0320#0,"""うん.<br>ここでうじうじしてても、しょうがないよね."""
msc_023060_0330#0,"""ちょっと、行ってくる！"""
msc_023060_0340#0,"""ありがと.<br>いつも、気にかけてくれて！"""
