BoxGacha_Top_Title#0,"""리워드 박스"""
BoxGacha_Top_Step#0,"""Step.$(0) (진행 중)"""
BoxGacha_Top_Step2#0,"""Step.$(0)"""
BoxGacha_Top_Step3#0,"""Step.$(0) (루프)"""
BoxGacha_Top_Step4#0,"""Step.$(0) (진행 중/루프)"""
BoxGacha_Top_RestGift#0,"""남은 아이템 수"""
BoxGacha_Top_RestGift_Num#0,"""$(0)/$(1)"""
BoxGacha_Top_SeasonName#0,"""$(0)"""
BoxGacha_Top_Ticket_Name#0,"""$(0)"""
BoxGacha_Top_Tickets_Num#0,"""$(0)개"""
BoxGacha_Top_Period#0,"""이벤트 기간"""
BoxGacha_Top_Lots_Draw#0,"""$(0)회 뽑기<br>필요 개수: $(1)개"""
BoxGacha_Top_ItemStuckNum#0,"""×$(0)"""
BoxGacha_Top_Confirm_Title1#0,"""메시지"""
BoxGacha_Top_Confirm_Detail#0,"""대상 메달 $(1)개를 사용하여,<br>\""$(0)\"" 아이템을 얻습니다.<br>괜찮으시겠습니까?"""
BoxGacha_Top_Confirm_Decide#0,"""はい"""
BoxGacha_Top_Confirm_Cancel#0,"""いいえ"""
BoxGacha_Top_AllComplete#0,"""全アイテム獲得済み"""
BoxGacha_Result_Title#0,"""獲得アイテム一覧"""
BoxGacha_Result_Detail#0,"""以下のアイテムを入手しました."""
BoxGacha_Result_End#0,"""閉じる"""
BoxGacha_Guide#0,"""決定：<%Decide>\u3000\u3000キャンセル：<%Cancel>\u3000\u3000操作項目の移動：<%NextWidget>"""
BoxGacha_Notice1#0,"""すべてのアイテムを入手しました.Step.$(0)に進みます."""
BoxGacha_Notice2#0,"""すべてのアイテムを入手しました.次のステップには進まず,現在のステップに再度挑戦できます."""
BoxGacha_Notice3#0,"""現在の리워드 박스にあるすべてのアイテムを入手しました."""
Title#0,"""메시지"""
EmergencyStopClose#0,"""現在,選択した機能に問題が発生しており<br>調査のため使用を制限しています.<br>詳しくはプレイヤーズサイトをご確認ください."""
MatchingClose#0,"""マッチング中は実行できません.<br>리워드 박스のウィンドウを閉じます."""
OtherErrorClose#0,"""予期せぬエラーが発生しました.<br>리워드 박스のウィンドウを閉じます."""
NoTicket#0,"""대상 메달 が不足しています.<br>대상 메달 を,<br>アイテムパックに入れた状態で実行してください."""
NotEnoughTicket#0,"""대상 메달 が不足しています.<br>대상 메달 を,<br>アイテムパックに入れた状態で実行してください."""
NoSpaceInWarehouse#0,"""리워드 박스を引くための<br>倉庫の空き容量が不足しています."""
NotEnoughSpaceInWarehouse#0,"""리워드 박스を引くための<br>倉庫の空き容量が不足しています."""
OutOfStock#0,"""このステップの報酬は,すべて獲得済みです."""
NotEnoughStock#0,"""指定したメダル数よりも,남은 아이템 수が少ない状態です."""
Matching#0,"""マッチング中は,리워드 박스を実行できません."""
OtherError#0,"""予期せぬエラーが発生しました."""
UseItem#0,"""アイテムが使用できませんでした."""
UnexpetedClose#0,"""予期せぬエラーが発生しました.<br>리워드 박스のウィンドウを閉じます."""
