msc_023070_0010#0,"""어라? 어서와."""
msc_023070_0020#0,"""온다고 미리 말했으면<br>뭐라도 좀 준비 했을 텐데…."""
msc_023070_0030#0,"""에아리오 쪽은 어때?"""
msc_023070_0040#0,"""이루마가 그쪽으로 가고 있던데,<br>방해가 되진 않아?"""
msc_023070_0050#0,"""아침부터 저녁까지 조사와 연구."""
msc_023070_0060#0,"""뭘 하고 있는지 잘 모르겠어."""
msc_023070_0070#0,"""어딜 거든 변함이 없네…."""
msc_023070_0080#0,"""에에? 그래?"""
msc_023070_0090#0,"""뭐 그래도, 어딘가에 틀어박혀서<br>뭐라도 하고 있겠지."""
msc_023070_0100#0,"""적어도,<br>문제를 일으키진 않은 것 같네."""
msc_023070_0110#0,"""안심했어."""
msc_023070_0120#0,"""뭔가 잘못을 저지르면<br>바로 알려줘."""
msc_023070_0130#0,"""…아, 그러고보니까"""
msc_023070_0140#0,"""얼마 전에 아이나도 찾아왔었어."""
msc_023070_0150#0,"""아이나가?"""
msc_023070_0160#0,"""무슨 일로 왔었대?"""
msc_023070_0170#0,"""응."""
msc_023070_0180#0,"""지금까지 어떤 전투훈련을 해왔는지<br>가르쳐 달라고 했어."""
msc_023070_0190#0,"""여태까지 어떤 전투훈련을 해왔는지<br>알고 싶댔어."""
msc_023070_0200#0,"""아이나가 에아리오의 훈련 교관이 됐다고 들었어."""
msc_023070_0210#0,"""돌봐주는 걸 잘 하니까 잘 어울릴 것 같아."""
msc_023070_0220#0,"""그래서, 우리는<br>할아버지에게 싸우는 방법을 배웠다고 했었어."""
msc_023070_0230#0,"""우리는<br>성격이 다 다르잖아?"""
msc_023070_0240#0,"""그래서, 할아버지도 가르치는데 애를 먹었어."""
msc_023070_0250#0,"""「각자의 개성을 파악하는 게 중요해」라고,<br>입버릇처럼 말씀하셨어."""
msc_023070_0260#0,"""한 가지 방법을 시도해보고,<br>안맞으면 다음 방법을…."""
msc_023070_0270#0,"""라고, 한사람 한사람에게 맞는 싸움방식을<br>끈기있게 강의해 주셨어."""
msc_023070_0280#0,"""아~ 혹시…."""
msc_023070_0290#0,"""할아버지가,<br>이래라 저래라 하는 사람이였다면…."""
msc_023070_0300#0,"""우리 다섯 명이 좀 더<br>성격이 비슷해졌을지도 모르겠네."""
msc_023070_0310#0,"""…그렇게 이야기를 했더니,<br>아이나는 「내가 어떻게 가르쳐야 할지에 대해서만 생각했어」라고."""
msc_023070_0320#0,"""서둘러 떠나버렸어."""
msc_023070_0330#0,"""아직 하고싶은 얘기가 많았는데…."""
msc_023070_0340#0,"""너는 괜찮아?"""
msc_023070_0350#0,"""요즘 있었던 일들, 이것저것 들려줬으면<br>기쁠 거 같은데."""
