name_7030#0,"""쿠이라"""
msn_022094_0010#0,"""안녕, 잘 왔어!"""
msn_022094_0020#0,"""이야기는 전해 들었어.<br>\""리미널 사인\""에 관한거지?"""
msn_022094_0030#0,"""전에 이런 메모를 발견해서,<br>궁금했었거든."""
msn_022094_0040#0,"""「탐험에 열중하다 보니 어느새 해가 지고 있었다」"""
msn_022094_0050#0,"""「항상 어두운 곳이라 미처 몰랐어」"""
msn_022094_0060#0,"""「이 주변은 위험한 곳이야. 에너미와 마주치기 전에 돌아가야지」"""
msn_022094_0070#0,"""「그러던 찰나, <red>바위 그늘에 유난히 빛나는 레스타 사인처럼 생긴 것<c>을 봤다」"""
msn_022094_0080#0,"""「혹시 소문으로만 듣던 리미널 사인이 아닐까…」"""
msn_022094_0090#0,"""「하지만, 이후 다시 찾아가도 찾을 수 없었다」"""
msn_022094_0100#0,"""「그건 내가 잘못봤던 걸까…」"""
msn_022094_0110#0,"""이건 꽤나 오래전에 쓰여진 글인데,<br>그동안 별로 주못받지 못했던 것 같아."""
msn_022094_0120#0,"""음, 「바위 그늘에」라는 것은,<br>바위가 많은 곳인가…."""
msn_022094_0130#0,"""「위험한 곳이야」라는 것도 있고,<br>스티아의 용암지대… 라던가?"""
msn_022094_0140#0,"""잠깐, 일단 가 봐!"""
msn_022094_0200#0,"""메모, 다시 한 번 읽어줄까?"""
msn_022094_0210#0,"""그야."""
msn_022094_0300#0,"""아, 돌아왔구나.<br>미안, 이곳저곳 가보라고 해버려서."""
msn_022094_0310#0,"""조금만 더 생각해 보자."""
msn_022094_0320#0,"""「항상 어두운 곳」에「위험한 곳이야」잖아?"""
msn_022094_0330#0,"""그 외에 가보지 않은 곳은,<br>리템과 크바리스…."""
msn_022094_0340#0,"""어둡다…."""
msn_022094_0350#0,"""앗! 동굴이라던가?"""
msn_022094_0360#0,"""하지만, 동굴도 많이 있는데…."""
msn_022094_0370#0,"""그래!<br>크바리스의 산길 같은 곳은 어때?"""
msn_022094_0380#0,"""이번엔 정답일지도 몰라!<br>한번 가봐!"""
msn_022094_0400#0,"""크바리스의 산길 같은 곳은 어때?"""
msn_022094_0410#0,"""이번엔 정답일지도 몰라!<br>한번 가봐!"""
