name_7211#0,"""シャンディー"""
ssn_019200_002_0010#0,"""来てくれて、ありがとうございます.<br>あらためて、自己紹介を."""
ssn_019200_002_0020#0,"""私は、シャンディー.ハルファで発生する<br>さまざまな特異現象を研究しています."""
ssn_019200_002_0030#0,"""今回、あなたを呼んだのは、<br>リテムでの調査を、手伝ってもらいたいと思いまして."""
ssn_019200_002_0011#0,"""来てくれて、ありがとうございます."""
ssn_019200_002_0021#0,"""今回、あなたを呼んだのは、<br>リテムでの調査を、手伝ってもらいたいと思いまして."""
ssn_019200_002_0040#0,"""このところ、リテムリージョンで、<br>エネミーの数が増加傾向にあるようなのです."""
ssn_019200_002_0050#0,"""そこで、あなたがリテムでエネミーと交戦した際の<br>データを送ってほしいのです."""
ssn_019200_002_0060#0,"""とくに、この時期特有の<br>シンボルがついたエネミーの動きが気になります."""
ssn_019200_002_0070#0,"""どうか、協力してもらえないでしょうか？"""
ssn_019200_002_0080#0,"""それでは、よろしくお願いします."""
ssn_019200_002_0120#0,"""おかえりなさい.<br>調査への協力、ありがとうございました."""
ssn_019200_002_0130#0,"""受領したデータからは、エネミーの増減に、<br>有意な変化は見られないことがわかりました."""
ssn_019200_002_0140#0,"""ただ、エネミーの分布状況などは、<br>もう少し調べてみる必要があるかもしれません."""
ssn_019200_002_0150#0,"""多くのエネミーが一点に集中するようなことがあれば、<br>危険な兆候といえるでしょう."""
ssn_019200_002_0160#0,"""もしかしたら、\""ラッピーの集会場\""なども、<br>偏在傾向の表れかもしれません."""
ssn_019200_002_0170#0,"""そうした視点も加えて、<br>調査を進めていきたいと思います."""
ssn_019200_002_0180#0,"""……まあ、ラッピーは特殊な存在ですので、<br>見当違い……という可能性もありますが……."""
ssn_019200_002_0190#0,"""今回は、本当に助かりました."""
ssn_019200_002_0200#0,"""またなにかあったら、<br>よろしくお願いしますね."""
ssn_019200_002_0300#0,"""今でもなお、<br>エネミーについては多くの謎があります."""
ssn_019200_002_0310#0,"""それを、ひとつひとつ、<br>解き明かしていきたいのです."""
npc_menu_0010#0,"""シーズナルポイントと交換する（$(0)まで）"""
npc_menu_0020#0,"""クリスマス'23のシーズナルポイントと交換する（$(0)まで）"""
npc_menu_0030#0,"""アイテムリサイクル（$(0)まで）"""
npc_menu_0040#0,"""シーズナルイベントについて聞く"""
npc_menu_0050#0,"""メニューを閉じる"""
npc_menu_0060#0,"""アイテムリサイクル"""
npc_menu_1010#0,"""\""シーズナルイベント\""について"""
npc_menu_1020#0,"""\""시즌エネミー\""について"""
npc_menu_1030#0,"""\""ミスチーフシンボル\""について"""
npc_menu_1040#0,"""\""シーズナルリージョンマグ\""について"""
npc_menu_1050#0,"""\""ラッピーの集会場\""について"""
npc_menu_2000#0,"""聞きたいことはない"""
