name_7224#0,"""시트레"""
name_7234#0,"""패피 랍피"""
ssn_019190_002_0010#0,"""와줘서 정말 고마워.<br>다시 한 번 소개할게."""
ssn_019190_002_0020#0,"""내 이름은 시트레야. 센트럴 시티의 보급대 소속으로<br>보급품 관리나 전투 지원 같은 걸 담당하고 있어."""
ssn_019190_002_0030#0,"""그래서 네게 상담하고 싶은 게 있는데…."""
ssn_019190_002_0040#0,"""\""랍피 집회장\""라고<br>알고있어?"""
ssn_019190_002_0011#0,"""<%me>!<br>와줘서 고마워."""
ssn_019190_002_0021#0,"""바로 본론으로 들어갈게,<br>너, \""랍피 집회장\""을 알고 있어?"""
ssn_019190_002_0050#0,"""말 그대로,<br>많은 랍피들이 모이는 특별한 장소가 있어."""
ssn_019190_002_0060#0,"""최근 그 집회장에<br>\""캡탄\""이 섞여있다는 보고가 있었거든."""
ssn_019190_002_0070#0,"""그래서 랍피를 엄청 좋아하는 우리 상사가,<br>도「무슨 일이 있어도 기록해야 한다!」라고 소란을 피워서 말이지."""
ssn_019190_002_0080#0,"""일이 손에 잡히지 않는 상태야…."""
ssn_019190_002_0090#0,"""그래서 그 랍피와 캡탄이 함께 있는 모습을,<br>네가 기록해 주었으면 해서 말야."""
ssn_019190_002_0100#0,"""미안하지만, 좀 부탁할게!"""
ssn_019190_002_0120#0,"""잘 돌아왔어!<br>고마워. 덕분이야."""
ssn_019190_002_0130#0,"""데이터도 상사에게 보내놨으니,<br>이제 업무에 전념해주기만 하면…."""
ssn_019190_002_0140#0,"""응응~! 진짜 좋아!<br>최고의 데이터야!"""
ssn_019190_002_0150#0,"""우와, 왔다."""
ssn_019190_002_0160#0,"""랍피와 캡탄.<br>귀여움과 귀여움의 콜라보레이션!"""
ssn_019190_002_0170#0,"""음~ 저쪽의 커다란 녀석도 좋네에!<br>크기에 비례해서 귀여움도 커지는 것 같군."""
ssn_019190_002_0180#0,"""…잠깐만 진정하세요."""
ssn_019190_002_0190#0,"""그보다도 약속대로<br>만족하시게 되면 일에 집중해 주세요."""
ssn_019190_002_0200#0,"""이야, 훌륭해.<br>계속 지켜보고 싶은 심정이야."""
ssn_019190_002_0210#0,"""…이, 이자식…"""
ssn_019190_002_0220#0,"""농담이야! 농담이니까…."""
ssn_019190_002_0230#0,"""얼른 일을 끝내고,<br>다치 한 번 처음부터 봐야겠어."""
ssn_019190_002_0240#0,"""새로운 모티베이션 사이클이<br>만들어져 버렸네."""
ssn_019190_002_0250#0,"""그럼, 나는 다시 일하러 가야겠군.<br>자네, 정말 고마워!"""
ssn_019190_002_0260#0,"""하아…."""
ssn_019190_002_0270#0,"""정말, 저런 거만 없으면<br>좋은 상사인데 말야…."""
ssn_019190_002_0280#0,"""어, 어찌됐든<br>이번엔 고마웠어."""
ssn_019190_002_0290#0,"""데이터는 패피 랍피의 취미 뿐만이 아니라,<br>다양한 연구에 활용하도록 할게."""
ssn_019190_002_0300#0,"""그럼, 또 무슨 일이 생겼을 땐<br>좀 부탁할게!"""
ssn_019190_002_0400#0,"""보급은 전투의 생명줄!"""
ssn_019190_002_0410#0,"""…우리 상사는,<br>\""저거\""만 아니면 우수한데. 거 참…."""
npc_menu_0010#0,"""시즈널 포인트로 교환하기 ($(0)까지)"""
npc_menu_0030#0,"""아이템 리사이클 ($(0)까지)"""
npc_menu_0040#0,"""시즈널 이벤트에 관하여 알아보기"""
npc_menu_0050#0,"""메뉴 닫기"""
npc_menu_0060#0,"""아이템 리사이클"""
npc_menu_1010#0,"""\""시즈널 이벤트\""에 관하여"""
npc_menu_1020#0,"""\""시즌에너미\""에 관하여"""
npc_menu_1030#0,"""\""미스치프 심볼\""에 관하여"""
npc_menu_1040#0,"""\""시즈널 리전 마그\""에 관하여"""
npc_menu_1050#0,"""\""랍피 집회장\""에 관하여"""
npc_menu_2000#0,"""묻고 싶은 것이 없다"""
