msc_022120_0010#0,"""리미널 사인을 얻었다."""
msc_022120_0020#0,"""…하지만, 아직 문제가 있어."""
msc_022120_0030#0,"""…아무래도, 지금 가진 걸론<br>양이 부족한 것 같아."""
msc_022120_0040#0,"""…부족해?"""
msc_022120_0050#0,"""리미널 사인은,<br>급감한 체내 포톤 회복에 효과가 있었습니다."""
msc_022120_0060#0,"""하지만, 이 양으로는 부족할 것 같습니다."""
msc_022120_0070#0,"""…뭐라고?"""
msc_022120_0080#0,"""앞으로 얼마나 필요한 거야?"""
msc_022120_0090#0,"""정확한 양은 모르겠어."""
msc_022120_0100#0,"""지금으로선,<br>되도록 많을 수록 좋다는 것."""
msc_022120_0110#0,"""서둘러 찾아보자."""
msc_022120_0120#0,"""…반드시 구해줄게…."""
msc_022120_0130#0,"""응!"""
msc_022120_0140#0,"""할파 안이라면,<br>뛰어다니면서라도 찾아내겠어!"""
msc_022120_0150#0,"""리미널 사인의<br>형태를 알아낸 것은 큰 성과야."""
msc_022120_0160#0,"""모든 아크스에게 사정을 전하고,<br>협조를 부탁하자."""
msc_022120_0170#0,"""다들, 마논을 걱정하고 있어.<br>분명 도움을 줄 거야."""
msc_022120_0180#0,"""리템의 주민들도,<br>움직일 수 있는 자는 모두 달려갈 거야."""
msc_022120_0190#0,"""스티아도 마찬가지다."""
msc_022120_0200#0,"""데이터를 바탕으로,<br>조사대 또한 장소를 찾는 걸 서두르게 할 수 있어"""
msc_022120_0210#0,"""너희들…."""
msc_022120_0220#0,"""그럼, 다시 한 번 수색을 시작하자!"""
