msc_023080_0010#0,"""<%me> 로군."""
msc_023080_0020#0,"""…알고있어.<br>아이나에 관한 거지?"""
msc_023080_0030#0,"""어떤 거 같아?"""
msc_023080_0040#0,"""잘 지내나 걱정돼."""
msc_023080_0050#0,"""너도 상당히 남 돌보기를 잘하는구나."""
msc_023080_0060#0,"""…내가 할 말은 아니지만."""
msc_023080_0070#0,"""이런이런, 너도 걱정이 많군."""
msc_023080_0080#0,"""하지만, 그 암음은 나도 이해해."""
msc_023080_0090#0,"""안심해.<br>아이나는 잘하고 있어."""
msc_023080_0100#0,"""물론 아직 조잡한 부분이 눈에 띄지만,<br>누구든 처음엔 그러는 법이지."""
msc_023080_0110#0,"""처음에는 가르친다는 것 자체로 당황스러웠을 텐데…."""
msc_023080_0120#0,"""지금은 훈련생 한 명 한 명의 이해도에 맞춰서<br>가르치려고 노력하고 있어."""
msc_023080_0130#0,"""놀라운 발전이군."""
msc_023080_0140#0,"""나는 누군가가 아이나에게<br>조언을 해줬을 거라 생각한다만."""
msc_023080_0150#0,"""실은…."""
msc_023080_0160#0,"""나는 아무것도 안했어."""
msc_023080_0170#0,"""…그렇군.<br>라이서스가 가르치던 방법을 메리에게 들었다고."""
msc_023080_0180#0,"""그것만으로 바로 방법을 바꿀 수 있는 것은,<br>재능이라고 할 수 있겠지."""
msc_023080_0190#0,"""자네나 마논과 함께 걸어오면서,<br>그 싸움의 방법을 터득한 거겠지."""
msc_023080_0200#0,"""혼자서는 잘 안되는 것 같으면<br>도울 생각이였다만, 그럴 필요가 없겠네."""
msc_023080_0210#0,"""좀 더 지켜보는 입장으로 지내지."""
msc_023080_0220#0,"""너도 아이나를 지켜봐 주게."""
