name_7001#0,"""마논"""
name_7026#0,"""파리아"""
msn_022110_0010#0,"""…잠깐, 괜찮을까."""
msn_022110_0020#0,"""파리아에게 들었어."""
msn_022110_0030#0,"""…나를 위해서,<br>뭔가 해줬다고…."""
msn_022110_0040#0,"""나 같은 녀석을 위해…."""
msn_022110_0050#0,"""너희가 무리를."""
msn_022110_0060#0,"""…그런 건 필요 없어…."""
msn_022110_0070#0,"""하아…."""
msn_022110_0080#0,"""마논?"""
msn_022110_0090#0,"""………."""
msn_022110_0100#0,"""마논은 또 기절해 버린 것 같습니다."""
msn_022110_0110#0,"""말하는 중에 끊어졌습니다만,<br>꼭 당신과 얘기하고 싶다고…."""
msn_022110_0120#0,"""마논은 당신을,<br>엄청나게 소중히 여기고 있는 것 같아요."""
msn_022110_0130#0,"""마논을 위해,<br>리미널 사인의 회수를 부탁드립니다."""
