msc_022090_0010#0,"""マノンが倒れたのは,<br>\""オーバーブースト\""の多用が原因です."""
msc_022090_0020#0,"""\""オーバーブースト\""は,<br>身体に大きな負担がかかります."""
msc_022090_0030#0,"""だから,緊急時以外は使わないようにと,<br>指示をされていました."""
msc_022090_0040#0,"""緊急用の力……."""
msc_022090_0050#0,"""……なんということだ."""
msc_022090_0060#0,"""もっと強く止めていれば……."""
msc_022090_0070#0,"""もっと気にかけていれば……."""
msc_022090_0080#0,"""……マノンは,<br>言っても聞かないときがあるから……."""
msc_022090_0090#0,"""……あたしも……."""
msc_022090_0100#0,"""マノンは……."""
msc_022090_0110#0,"""一生懸命頑張ってたし……."""
msc_022090_0120#0,"""調査も順調だって言ってたし……."""
msc_022090_0130#0,"""みんな,喜んでくれてるって……."""
msc_022090_0140#0,"""これは,私のミスでもあります."""
msc_022090_0150#0,"""何度もマノンに警告したのですが,<br>聞いてもらえませんでした."""
msc_022090_0160#0,"""……マノン."""
msc_022090_0170#0,"""ねえ,ファリア？"""
msc_022090_0180#0,"""マノンは大丈夫だよね？"""
msc_022090_0190#0,"""……このままでは,厳しいと思われます."""
msc_022090_0200#0,"""……え？"""
msc_022090_0210#0,"""それは,どういうことだい？"""
msc_022090_0220#0,"""\""オーバーブースト\""の使用は,<br>一度に大量のフォトンを消費します."""
msc_022090_0230#0,"""体内のフォトンが完全に枯渇すると,<br>元の状態に戻すのは難しくなります."""
msc_022090_0240#0,"""つまり,自然回復は難しいと……."""
msc_022090_0250#0,"""はい."""
msc_022090_0260#0,"""治療方法は？"""
msc_022090_0270#0,"""……わかりません."""
msc_022090_0280#0,"""そ……そんな……."""
msc_022090_0290#0,"""マノン……."""
msc_022090_0300#0,"""………."""
msc_022090_0310#0,"""みんな,ちょっといいかな."""
msc_022090_0320#0,"""どうしたんだい？"""
msc_022090_0330#0,"""マノンの症状を聞いて,<br>これのことを思い出したんだ."""
msc_022090_0340#0,"""これは,ロストセントラルで見つけた<br>おじいちゃんの資料."""
msc_022090_0350#0,"""ここに,体内フォトンの欠乏について書かれてる."""
msc_022090_0360#0,"""過去の戦いで,<br>フォトンを使い果たしたアークスがいたみたい."""
msc_022090_0370#0,"""その回復を試みたっていうメモなんだ."""
msc_022090_0380#0,"""じゃあ,マノンは治るってこと!?"""
msc_022090_0390#0,"""すごいな.<br>……ライサス."""
msc_022090_0400#0,"""あ,いや,その……."""
msc_022090_0410#0,"""言いにくいんだけど,<br>喜ぶのはまだ早くて……."""
msc_022090_0420#0,"""……え？"""
msc_022090_0430#0,"""特殊なフォトン結晶があれば,<br>治療ができるみたいなんだけど……."""
msc_022090_0440#0,"""名前は,\""リミナルサイン\""っていうらしい."""
msc_022090_0450#0,"""……ただ,どこで採れるのか,<br>どんな見た目なのか,そういう記載がなくて."""
msc_022090_0460#0,"""リミナルサイン……聞いたことないな."""
msc_022090_0470#0,"""俺もない."""
msc_022090_0480#0,"""それは,確かな情報なのか？"""
msc_022090_0490#0,"""……うーん."""
msc_022090_0500#0,"""この結晶を使った反応式なんかがあるから,<br>確度は高いはず……."""
msc_022090_0510#0,"""でも,肝心のカタチがわからない."""
msc_022090_0520#0,"""……探すのは,大変そうだね."""
msc_022090_0530#0,"""どこかに,手がかりがあるはず."""
msc_022090_0540#0,"""マノンを助けるためなら,なんでもやる."""
msc_022090_0550#0,"""………."""
msc_022090_0560#0,"""そ,そうだよ!"""
msc_022090_0570#0,"""やることがわかったなら,<br>行動しなくちゃ!"""
msc_022090_0580#0,"""誰か,知ってるかもしれないし."""
msc_022090_0590#0,"""歩きまわれば,<br>どこかで見つかるかもしれない."""
msc_022090_0600#0,"""レスタサインみたいなのを,<br>探せばいいんでしょ？"""
msc_022090_0610#0,"""……思いつく限り,<br>総当たりでやるしかないか."""
msc_022090_0620#0,"""そうだね."""
msc_022090_0630#0,"""僕はもう少し,<br>資料を探してみるよ."""
msc_022090_0640#0,"""……私も,お手伝いします."""
msc_022090_0650#0,"""調査隊にも伝えて,<br>すぐに動かそう."""
msc_022090_0660#0,"""よーし!"""
msc_022090_0670#0,"""待っててね!\u3000マノン!"""
