msc_022190_0010#0,"""고마워.<br>와줬구나."""
msc_022190_0020#0,"""건강해 보이네."""
msc_022190_0030#0,"""몸은 괜찮아?"""
msc_022190_0040#0,"""응.<br>덕분에."""
msc_022190_0050#0,"""응.<br>이제 괜찮아."""
msc_022190_0060#0,"""아까 걔는 내가 쓰러졌을 때,<br>병문안을 와줬었어."""
msc_022190_0070#0,"""그 뒤로,<br>조금씩 이야기를 나누기 시작하고…."""
msc_022190_0080#0,"""하지만 그 때의 나는 껍데기에 틀어박혀서<br>걔가 하는 말을 제대로 듣지 않았어…."""
msc_022190_0090#0,"""…지금은,<br>조금은 서로를 이해할 수 있게 된 것 같아…."""
msc_022190_0100#0,"""모두에게 마음을 전한 덕분이야."""
msc_022190_0110#0,"""마논이 깨어났을 때의 일은?"""
msc_022190_0120#0,"""아…."""
msc_022190_0130#0,"""으…."""
msc_022190_0140#0,"""…생각하면,<br>지금도 얼굴이 뜨거워져…."""
msc_022190_0150#0,"""걔한테서도 그렇게 감정표현을 하는구나<br>라면서 놀림받아서…."""
msc_022190_0160#0,"""하지만, 그런 마논도 좋아."""
msc_022190_0170#0,"""걔가 하는 말도 알 것 같아."""
msc_022190_0180#0,"""엥, 그 그래…?"""
msc_022190_0190#0,"""너 까지 그러네…."""
msc_022190_0200#0,"""따지고 보면,<br>너 때문이라고?"""
msc_022190_0210#0,"""갑자기 모니터 앞에<br>나를 내세우거나…."""
msc_022190_0220#0,"""…그래도, 그러게."""
msc_022190_0230#0,"""나 자신도,<br>그런 말을 할 줄은 몰랐어."""
msc_022190_0240#0,"""분명 이곳에서의 생활이<br>나를 바꾸게 만든 거겠지…."""
msc_022190_0250#0,"""………."""
msc_022190_0260#0,"""저기… <%me>."""
msc_022190_0270#0,"""…한 가지 부탁이 있는데."""
msc_022190_0280#0,"""뭔데?"""
msc_022190_0290#0,"""무슨 일이야?"""
msc_022190_0300#0,"""저기… 그…."""
msc_022190_0310#0,"""나는 그동안 리서전트 아크스라는<br>이질적인 환경 속에서 살아왔어."""
msc_022190_0320#0,"""…그래서, 또 잘못된 행동을<br>하게될지도 몰라."""
msc_022190_0330#0,"""그 때는,<br>다시 한 번 나를 바로잡아줬으면 해."""
msc_022190_0340#0,"""너희에게…."""
msc_022190_0350#0,"""아니, 너에게 부탁하고 싶어."""
msc_022190_0360#0,"""어때…?"""
msc_022190_0370#0,"""물론."""
msc_022190_0380#0,"""함께 나아가자."""
msc_022190_0390#0,"""………."""
msc_022190_0400#0,"""……고마워."""
