name_7622#0,"""ケンジンス"""
msn_022092_0010#0,"""ん？\u3000どうした？<br>オレに聞きたいことがある？"""
msn_022092_0020#0,"""\""リミナルサイン\""？"""
msn_022092_0030#0,"""うーん……,<br>どっかで聞いたような気がするな."""
msn_022092_0040#0,"""……そうだ!<br>クイーラだ."""
msn_022092_0050#0,"""アイツが前に,<br>珍しいのがあるって騒いでたな."""
msn_022092_0060#0,"""クイーラは,<br>イロイロと調べたりするのが好きなヤツで……."""
msn_022092_0070#0,"""そういやあんたは,アイツの調査を<br>手伝ったことあるんだってな？"""
msn_022092_0080#0,"""だったら,話は早いな.<br>アイツに聞いてみてくれ."""
msn_022092_0110#0,"""\""リミナルサイン\""ねぇ……."""
msn_022092_0120#0,"""クイーラなら,<br>なにか知ってるかもしれないな."""
msn_022092_0130#0,"""会いに行ってみるといいぜ."""
