Title#0,"""Hunter: การฝึกฝนขั้นพื้นฐาน"""
Summary#0,"""Dantre ผู้ฝึกสอนของ ARKS จะมาสอนวิธีต่อสู้ในคลาส Hunter<br><br><yellow>※Class Skill ที่แนะนำ:<br>\u3000Massive Hunter<c>"""
Objective311#0,"""ตั้งค่า Main Class ของคุณเป็น Hunter"""
text0101#0,"""ตั้งค่า Main Class ของคุณเป็น Hunter"""
Objective321#0,"""เดินทางไปยัง Mt. Magnus"""
text0102#0,"""เดินทางไปยัง Southern Aelio ด้วยคลาส Hunter"""
text0103#0,"""ใช้งาน Massive Hunter"""
Objective322#0,"""ใช้งาน Massive Hunter"""
Objective323#0,"""กำจัดศัตรูที่ Mt. Magnus ด้วยคลาส Hunter"""
text0104#0,"""กำจัดศัตรูที่ Southern Aelio ด้วยคลาส Hunter"""
Objective331#0,"""รายงานตัวกับ Dantre"""
