st_012020_0005#0,"""【不可解な行動】<br>仮テキスト"""
st_012020_0010#0,"""Ох! Неожиданно..."""
st_012020_0020#0,"""Касра из Совета Шести,<br>почему ты...?"""
st_012020_0030#0,"""И тебе привет, Куна.<br>Я на задании, так же, как ты."""
st_012020_0040#0,"""Довольно странно<br>видеть тебя с кем-то в группе."""
st_012020_0050#0,"""Но если это <%me>.<br>Должно быть это судьба."""
st_012020_0060#0,"""Ты её знаешь?"""
st_012020_0070#0,"""Что ты тут делаешь?"""
st_012020_0080#0,"""Формально, наши встречи обычно<br>связаны с работой."""
st_012020_0090#0,"""Ничего необычного. Я здесь<br>всего лишь по поручению ARKS."""
st_012020_0100#0,"""Перейду к делу, вы пришли сюда<br>из-за буйного дракона, да?"""
st_012020_0110#0,"""Были замечены какие-то странные<br>сигналы на сферическом стадионе<br>в центре города."""
st_012020_0120#0,"""Зачем ему быть там?"""
st_012020_0130#0,"""Согласен, звучит странно."""
st_012020_0140#0,"""Похоже, там должна была быть<br>сцена для какой-то певицы."""
st_012020_0150#0,"""Если учесть большое количество<br>даркеров, звучит интригующе."""
st_012020_0160#0,"""<%me>, быть может..."""
st_012020_0170#0,"""Он хочет послушать твою песню?"""
st_012020_0180#0,"""Поспешим."""
st_012020_0190#0,"""Вполне возможно. Когда он в<br>последний раз появился, я как<br>раз это и делала."""
st_012020_0200#0,"""Если мы сыграем песню на стадионе,<br>возможно, получится его<br>задержать."""
st_012020_0210#0,"""Песню?"""
st_012020_0220#0,"""Слишком поэтично.<br>Но если это идея <%me>,<br>может сработать."""
st_012020_0230#0,"""Что ж, я последую за тобой."""
st_012020_0240#0,"""Имеет смысл идти туда как можно<br>быстрее. Скорее."""
st_012020_0250#0,"""С меня должок, Касра<br>из Совета шести."""
st_012020_0260#0,"""Похоже, быть у тебя в долгу<br>может оказаться полезно."""
st_012020_0270#0,"""Побежали. Мы не можем позволить<br>ему сбежать в этот раз."""
st_012020_0280#0,"""Если вы не против,<br>могу я пойти с вами?"""
st_012020_0290#0,"""Тебе ведь просто хочется<br>контролировать меня, да?"""
st_012020_0300#0,"""Ты неправильно поняла.<br>Разве я похож на такого человека?"""
st_012020_0310#0,"""Ладно, делай что хочешь."""
st_012020_0320#0,"""A.P.238/4/15/10:30"""
skit01#0,"""The Uncontrollable Beast"""
skit02#0,"""Глава 9: Унисон статуй"""
skit03#0,"""The First Divide"""
skit04#0,"""Глава 9: Несостоятельный вызов на сцену"""
