st_012035_0005#0,"""【姉想いの弟】<br>仮テキスト"""
st_012035_0010#0,"""<%me>, Куна, вы меня слышите?"""
st_012035_0020#0,"""Похоже, наш дракон<br>как раз на стадионе."""
st_012035_0030#0,"""Я не знаю, сколько<br>он там будет оставаться."""
st_012035_0040#0,"""Порядок, он не уйдет,<br>пока там музыка."""
st_012035_0050#0,"""И есть ещё кое-что,<br>о чём я должен вам обоим сказать."""
st_012035_0060#0,"""Похоже, другие драконы начали<br>буйствовать. Возможно, это как-то<br>связано с Хадредом."""
st_012030_om_0070#0,"""!?"""
st_012030_om_0080#0,"""Начну с результатов. Я нашел<br>свидетельства бесчеловечных<br>экспериментов."""
st_012030_om_0090#0,"""Они пытались экспериментировать<br>с неким драконом, но не смогли<br>обуздать его. В итоге он<br>взбесился."""
st_012030_om_0100#0,"""После чего они начали<br>эксперименты над людьми,<br>что уже довольно серьезно."""
st_012030_om_0110#0,"""После начала экспериментов<br>на людях, они стали ещё более<br>бесчеловечными."""
st_012030_om_0120#0,"""Детали были потеряны, но,<br>я думаю, что информации и так<br>достаточно."""
st_012030_om_0130#0,"""Похоже, эксперимент обернулся<br>неудачей. Дракон стал берсерком;<br>люди же не смогли преодолеть<br>своих пределов."""
st_012030_om_0140#0,"""Но был один инцидент."""
st_012030_om_0150#0,"""Эксперимент, который должен был<br>быть проведен на человеке, был<br>поставлен над драконом, Хадредом."""
st_012030_om_0160#0,"""В результате раскрылись его<br>скрытые силы, из-за чего он<br>взбесился и уничтожил комплекс."""
st_012030_om_0170#0,"""Он должен был быть проведен на<br>человеке?..."""
st_012035_0070#0,"""Порядок. Не нужно объяснять,<br>Касра из Совета Шести."""
st_012035_0080#0,"""Я всё поняла, причину знаю.<br>Я её ранее услышала."""
st_012035_0090#0,"""Разрушение исследовательского<br>комплекса... Хадред-берсерк...<br>бесчеловечные эксперименты..."""
st_012035_0100#0,"""Не имеет значения."""
st_012035_0110#0,"""Чтобы защитить меня,<br>он отдал свою жизнь."""
st_012035_0120#0,"""Понятно... Значит, впереди<br>вас ждет жестокая битва."""
st_012035_0130#0,"""Пошли. Хадред ждет нас."""
st_012035_0140#0,"""A.P.238/4/15/11:00"""
