Title#0,"""T:채굴기지 방어전 : 종언"""
Explanation#0,"""アークス各員に緊急連絡。<br>惑星リリーパの採掘基地の地下より<br>【若人】と思われる強大な反応を確認した。<br>新型フォトン粒子砲を搭載した地中探査艇で<br>【若人】の下へ向かい、これを討伐せよ。<br>作戦中にダーカーの襲来が予想されるため<br>探査艇の拠点が破壊されないよう注意せよ。<br>――――――――――――――――――――<br>全6ウェーブ<br>失敗条件/全拠点の陥落"""
SimpleExplanation#0,"""채굴 기지를 지켜라!"""
Wave1_Talk#0,"""強力なダーカーが出現しました！<br>Ａ．Ｉ．Ｓや銃座を惜しみなく使って<br>撃破してしまいましょう！"""
Wave2_Talk#0,"""ダーカーがたくさん出てきましたね！<br>拠点が攻撃されないように<br>全部、倒してしまってください！"""
Wave3_Talk#0,"""侵食されたＡ．Ｉ．Ｓを確認しました！<br>Ａ．Ｉ．Ｓでの攻撃に耐性があるので<br>Ａ．Ｉ．Ｓ同士での戦闘は不利です！"""
Wave4_Talk#0,"""侵食Ａ．Ｉ．Ｓの出現と<br>ダーカーの砲台発生を確認しました！<br>ビームに注意してくださいね！"""
Wave5_Talk#0,"""【若人】まであとわずかですが<br>……ダーカーがたくさんいますね！<br>ここが踏ん張りどころ、ってやつです！"""
Wave6_Talk#0,"""【若人】の出現を確認しました！<br>新型フォトン粒子砲が発射できるまで<br>【若人】を弱らせてください！"""
Wave1_Talk_Cool#0,"""【若人】討伐作戦を開始します！<br>多数のダーカーの襲撃が予想されるので<br>正結晶を集めて備えましょう！"""
Wave2_Talk_Cool#0,"""一つでも拠点が残っていれば<br>【若人】の撃破は可能です！<br>全て破壊されないように注意です！"""
Wave3_Talk_Cool#0,"""無事に乗り切れましたねって、あれ？<br>出撃準備中のＡ．Ｉ．Ｓに侵食反応が<br>ありますね……。気をつけてください！"""
Wave4_Talk_Cool#0,"""侵食されたＡ．Ｉ．Ｓの<br>フォトンブラスターは破壊できます！<br>撃たれても破壊すれば止められますよ！"""
Wave5_Talk_Cool#0,"""最深部に近づいてきましたね！<br>【若人】襲撃に備えて、正結晶の回収と<br>拠点の耐久値を回復しましょう！"""
Wave6_Talk_Cool#0,"""最深部に侵食液を確認！\u3000危険です！<br>探査艇の高所へと避難し<br>急停止の衝撃に備えてください！"""
NpcCom00#0,"""NPC通信：クールタイム開始Type9"""
NpcCom01#0,"""거점 전부 손실됐습니다……<br>이래서는 어쩔 수 없습니다.<br>귀환해 주세요."""
NpcCom02#0,"""작전 완료입니다!<br>멋진 활약이었습니다!<br>그럼 귀환해주세요!"""
NpcCom03#0,"""작전 완료입니다.<br>파손도 있었지만, 허용 범위입니다.<br>귀환해 주세요."""
NpcCom04#0,"""작전 완료입니다 만 피해도 큽니다.<br>하지만 어떻게든 해냈기 때문에<br>이 정도는 감당할만한 경비입니다."""
NpcCom05#0,"""이것으로 작전 완료입니다.<br>다음 작전에서는 방언에 공헌할 수 있도록<br>더욱 더 노력합시다!"""
NpcCom06#0,"""강력한 적성 반응을 확인했습니다!<br>여러분 경계해주세요!"""
NpcCom07#0,"""$(0) 거점이 습격당하고 있습니다!<br>막으러 가 주십시오!"""
NpcCom08#0,"""$(0) 거점이 함락되기 직전!<br>이대로는 안 됩니다!<br>서둘러 막으러 가 주십시오!"""
NpcCom09#0,"""この反応は……！<br>注意してください！<br>ダーカーが強化されています！"""
NpcCom10#0,"""敵性反応が減少しています！<br>もう少し、頑張ってください！"""
NpcCom11#0,"""敵性反応、残りあと僅かです！<br>ここが踏ん張り所ですよ！"""
NpcCom12#0,"""ゴルドラーダのエネルギー増大中！<br>自爆の前兆です、退避してください！"""
NpcCom12_Last#0,"""……よし、凌ぎきりました！<br>ダーカーが撤退していきます！"""
NpcCom13#0,"""拠点の破壊を確認！<br>残存拠点は一つ、なんとしてでも<br>守りきってくださいね！"""
NpcCom14#0,"""拠点、破壊されました！<br>残り２つの拠点を守りきってください！"""
NpcCom15#0,"""NPC通信：拠点破壊時に残り拠点が３つType9"""
NpcCom16#0,"""NPC通信：拠点破壊時に残り拠点が4つType9"""
barricade0#0,"""NPC通信：第一防衛ラインバリケード破壊時Type9"""
barricade1#0,"""NPC通信：第二防衛ラインバリケード破壊時Type9"""
barricade2#0,"""NPC通信：最終防衛ラインバリケード破壊時Type9"""
NpcComMsg1_Meritta#0,"""まもなく転送開始ですよー！<br>地中探査艇でダークファルス【若人】の<br>もとへ向かってくださいっ！"""
NpcComMsg2_Meritta#0,"""あとあとっ、新型フォトン粒子砲は<br>エネルギータンクが要です！<br>破壊されないように、守ってください！"""
NpcComMsg1#0,"""まもなく転送開始となります！<br>地中探査艇で、ダークファルス【若人】の<br>場所まで向かってください！"""
NpcComMsg2#0,"""新型フォトン粒子砲も設置完了です！<br>エネルギータンクを守り、必殺の一撃を<br>どかんとぶつけちゃってくださいね！"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
a5#0,"""슈퍼 하드 수주 허가증 소지"""
