Title#0,"""Base Defense: Demise"""
Explanation#0,"""This is an emergency message for all ARKS.<br>We have detected readings of [Apprentice]<br>under the mining base of planet Lillipa.<br>Use the mining vehicle equipped with our<br>new Photon Particle Cannon to reach<br>[Apprentice] and subdue it. You will need<br>to defend the vehicle from Darker attacks.<br>――――――――――――――――――――<br>Clear 6 waves<br>Failure: All Bases lost"""
SimpleExplanation#0,"""Defend the Mining Base!"""
Wave1_Talk#0,"""Powerful Darker incoming! Use as<br>many A.I.S. as it takes to destroy it!"""
Wave2_Talk#0,"""There's a lot of Darker readings<br>incoming! Destroy them before<br>they can attack the Bases!"""
Wave3_Talk#0,"""I'm picking up A.I.S. Exoda! They're<br>resistant to A.I.S. attacks, so don't<br>try to fight them if you're in an A.I.S.!"""
Wave4_Talk#0,"""Corrupted A.I.S. and Darker<br>Cannons on the radar! Watch<br>out for their beam attacks!"""
Wave5_Talk#0,"""You're getting close to [Apprentice]...<br>Massive amounts of Darkers incoming!<br>Whatever happens, hold your ground!"""
Wave6_Talk#0,"""That's it, [Apprentice] has appeared!<br>Try to weaken it until the Photon<br>Particle Cannon is ready to fire!"""
Wave1_Talk_Cool#0,"""Now commending the operation to<br>subdue [Apprentice]! You can expect<br>a lot of Darkers to attack, so gather<br>crystals and prepare your defenses!"""
Wave2_Talk_Cool#0,"""One Base is all we need to<br>defeat [Apprentice]! Just don't<br>let the enemy destroy all of them!"""
Wave3_Talk_Cool#0,"""Are you alright? We're<br>picking up corrupted A.I.S.<br>preparing to deploy...<br>Please, be careful! """
Wave4_Talk_Cool#0,"""You can destroy the Photon<br>Blaster of a corrupted A.I.S.,<br>even if it's already started firing!"""
Wave5_Talk_Cool#0,"""You're almost at the bottom! Collect<br>crystals and recover Base durability<br>so you'll be ready for [Apprentice]!"""
Wave6_Talk_Cool#0,"""We're detecting corrosive liquid below<br>you! It's too dangerous to continue<br>digging! Find some high ground and<br>brace for an emergency stop!"""
NpcCom00#0,"""NPC通信：クールタイム開始Type9"""
NpcCom01#0,"""All Bases have been destroyed...<br>There's nothing more we can do.<br>Please return to the ship immediately."""
NpcCom02#0,"""Operation complete! You did<br>really well! Return to the ship<br>as soon as you're done there!"""
NpcCom03#0,"""Operation complete. You sustained<br>some damage, but what matters is<br>that you completed the mission. Return<br>to the ship as soon as you're ready."""
NpcCom04#0,"""Operation complete. You took<br>a lot of damage, but at least<br>you finished the mission."""
NpcCom05#0,"""The operation is complete.<br>Next time, let's try to do<br>a little better on defense."""
NpcCom06#0,"""I'm picking up a powerful enemy<br>reading. Be careful, everyone!"""
NpcCom07#0,"""The $(0) Base is being<br>attacked! Please defend it!"""
NpcCom08#0,"""The $(0) Base is on the verge of<br>destruction! Please head over there<br>and defend it before it's too late!"""
NpcCom09#0,"""These readings...!<br>Watch out! The Darkers<br>have been strengthened!"""
NpcCom10#0,"""Enemy readings are fading! Keep it up!"""
NpcCom11#0,"""There's only a few enemies<br>left! Hang in there!"""
NpcCom12#0,"""The Goldrahdas' energy levels<br>are increasing! They're about<br>to self-destruct! Clear the area!"""
NpcCom12_Last#0,"""...Alright, you made it! The<br>Darkers are withdrawing!"""
NpcCom13#0,"""Base destruction confirmed!<br>There's only one Base<br>remaining, please protect it!"""
NpcCom14#0,"""A Base was destroyed! Please<br>defend the two remaining Bases!"""
NpcCom15#0,"""NPC通信：拠点破壊時に残り拠点が３つType9"""
NpcCom16#0,"""NPC通信：拠点破壊時に残り拠点が4つType9"""
barricade0#0,"""NPC通信：第一防衛ラインバリケード破壊時Type9"""
barricade1#0,"""NPC通信：第二防衛ラインバリケード破壊時Type9"""
barricade2#0,"""NPC通信：最終防衛ラインバリケード破壊時Type9"""
NpcComMsg1_Meritta#0,"""We're ready to transfer you!<br>Use the mining vehicle to<br>reach Dark Falz [Apprentice]!"""
NpcComMsg2_Meritta#0,"""The new Photon Particle Cannon<br>can't fire without energy tanks!<br>Protect them from being destroyed!"""
NpcComMsg1#0,"""We're ready to transfer you! Use<br>the mining vehicle to reach Dark Falz<br>[Apprentice]'s location underground!"""
NpcComMsg2#0,"""We've just finished installing the new<br>Photon Particle Cannon! Protect its<br>energy tanks and use it to strike a<br>deadly blow against [Apprentice]!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
