Title#0,"""T:채굴기지 방어전：내습"""
Explanation#0,"""아크스 각 대원에게 긴급 연락.<br>행성 리리파 채굴 기지 주변에<br>다수의 다커 반응을 확인했다.<br>여러 차례의 공세를<br>해올 생각인 것 같다.<br>기지 방어를 최우선 사항으로<br>공격이 멈출 때까지 거점을 사수하라.<br>――――――――――――――――――――<br>총 6 웨이브<br>실패 조건/모든 거점의 함락"""
SimpleExplanation#0,"""채굴 기지를 방어하라!"""
Wave1_Talk#0,"""다커가 출현했습니다!<br>어느 거점이 습격당할지 모릅니다.<br>협력해서 거점을 방어해 주세요!"""
Wave2_Talk#0,"""다음 다커가 습격해 왔습니다!<br>다들 서로 합을 맞춰<br>연대해서 지켜주세요!"""
Wave3_Talk#0,"""미, 미확인 반응이 있습니다!<br>다커의 병기가 출현하는 것 같습니다!<br>발견하는 즉시 파괴해 주세요!"""
Wave4_Talk#0,"""으아앗, 엄청 강한 반응……！<br>적들이 매우 강화된 것 같은<br>느낌이 듭니다! 주의해 주세요!"""
Wave5_Talk#0,"""으아앗, 엄청 강한 반응……！<br>대형 다커가 출현할지도<br>모르겠습니다!"""
Wave6_Talk#0,"""이것이 마지막인 것 같습니다!<br>이번이 고비입니다!<br>어떻게든 거점을 지켜주세요!"""
NpcComMsg1#0,"""곧 상황이 시작됩니다!<br>반응을 보니, 다커가 여러번<br>습격할 것 같습니다! 주의해 주세요!"""
NpcComMsg2#0,"""떨어진 결정의 에너지를 사용하면<br>방어를 단단히 할 수 있어요!<br>이상, 연락 끝입니다!<br>무운을 빕니다!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
