Title#0,"""채굴기지 방어훈련 : VR"""
Explanation#0,"""본 임무는, VR공간에서 수행하는<br>채굴 기지 방어전의 실전 훈련이다.<br>상황 대응 능력 향상을 목적으로<br>다커 이외의 종족도 출현하며 추가적으로<br>A.I.S의 사용을 금지한 훈련이다.<br>모든 아크스의 전력을 기대하겠다.<br>――――――――――――――――――――<br>총 6 웨이브<br>실패 조건/모든 거점의 함락"""
SimpleExplanation#0,"""채굴 기지를 방어하라!"""
Wave1_Talk#0,"""적이 출현했습니다!<br>맵으로 상황을 확인하면서<br>거점을 지켜 주세요!"""
Wave2_Talk#0,"""솔저 브라다에게 침식당한<br>방어 소켓은 사용할 수 없습니다.<br>우선시 해서 쓰러뜨리죠!"""
Wave3_Talk#0,"""A.I.S 엑소더나<br>다커 입자 포대도 재현되어 있으니<br>요격 준비를 잊지말아주세요!"""
Wave4_Talk#0,"""다수의 적이 출현했습니다!<br>거점 방어를 위해, 침공하는 적들을<br>모두 섬멸해주세요!"""
Wave5_Talk#0,"""제타 그랑조를 조우하면<br>가장 먼저 제거해 주세요!<br>내버려 두면 매우 위험해요!"""
Wave6_Talk#0,"""에너미가 전력으로 공격합니다!<br>여기가 큰 고비에요!<br>견고하게 방어해 주세요!"""
Wave7_Talk#0,"""매우 강력한 환창종이 출현!<br>주의해 주세요!"""
Wave8_Talk#0,"""이번만 버티면 끝입니다!<br>마지막까지 포기하지 말고<br>거점을 지켜 나가죠!"""
Wave1_Talk_Cool#0,"""거점 방어 훈련을 시작합니다!<br>다가오는 적에게서<br>거점을 지켜 주세요!"""
Wave2_Talk_Cool#0,"""다음은, 더욱 엄격한 포진입니다!<br>소켓도 잘 지켜주세요!"""
Wave3_Talk_Cool#0,"""결정을 모으면 거점 단말기와<br>방어 소켓 기능을 사용할 수 있습니다.<br>많이 모아서 유용하게 쓰도록 하죠!"""
Wave4_Talk_Cool#0,"""다음에 나오는 적들은<br>지금까지와 움직임이 다릅니다!<br>출현위치에 현혹되지 말아 주세요!"""
Wave5_Talk_Cool#0,"""다음은 강력한 적이 출현합니다!<br>견고하게 준비해주세요."""
Wave6_Talk_Cool#0,"""다음은 어느 한 거점이 노려집니다!<br>총력전이 예상되오니<br>결정을 모아 대비하도록 하죠!"""
Wave7_Talk_Cool#0,"""여기선 환창종도 출현합니다.<br>지금까지 없었던 공격도 있으니<br>적의 움직임을 잘 살펴보세요!"""
Wave8_Talk_Cool#0,"""드디어 마지막이네요.<br>지금까지의 훈련을 떠올려<br>상황에 맞게 대응해 주세요!"""
NpcCom00#0,"""***"""
NpcCom01#0,"""모든 거점이 파괴되었습니다……<br>이대론 훈련을 계속할 수 없습니다.<br>귀환해 주세요."""
NpcCom02#0,"""훈련 완료입니다!<br>멋진 활약이었습니다!<br>그럼, 귀환해 주세요!"""
NpcCom03#0,"""훈련 완료입니다.<br>피해도 있었지만, 허용범위입니다.<br>귀환해 주세요."""
NpcCom04#0,"""훈련 완료입니다. 피해가 컸지만<br>어떻게든 해냈네요.<br>그럼 귀환해 주세요。"""
NpcCom05#0,"""이것으로 훈련 완료입니다.<br>다음 작전에선, 방어에 공헌할 수<br>있도록 더더욱 힘내죠!"""
NpcCom06#0,"""강력한 적의 반응을 확인했습니다!<br>여러분, 경계해 주세요!"""
NpcCom07#0,"""$(0) 거점이 습격당하고 있습니다!<br>서둘러 지키러 가주세요!"""
NpcCom08#0,"""$(0) 거점이 함락되기 직전이에요!<br>이대로는 위험합니다!<br>빠르게 지키러 가주세요!"""
NpcCom09#0,"""강화된 적이 출현합니다!<br>요격 태세를 갖춰 주세요!"""
NpcCom10#0,"""적 반응이 감소하고 있습니다!<br>이 느낌 그대로 힘내보죠!"""
NpcCom11#0,"""적 반응이 얼마 남지 않았습니다!<br>지금이 고비입니다. 힘내주세요!"""
NpcCom12#0,"""적의 에너지 증가 중!<br>자폭의 전조입니다, 대피하세요!"""
NpcCom12_Wave05#0,"""적의 에너지 증가 중!<br>자폭의 전조입니다, 대피하세요!"""
NpcCom12_Last#0,"""훌륭합니다!<br>긴 훈련이였지만, 견뎌냈네요!"""
NpcCom13#0,"""거점 파괴 확인!<br>남은 거점은 하나<br>어떻게든 지켜주세요!"""
NpcCom14#0,"""거점이 파괴됐습니다! 나머지<br>두 개의 거점을 지켜주세요!"""
NpcCom15#0,"""***"""
NpcCom16#0,"""***"""
barricade0#0,"""***"""
barricade1#0,"""***"""
barricade2#0,"""***"""
NpcComMsg1#0,"""곧 전송이 시작됩니다! 훈련이라곤<br>하지만 어려움은 정평이 나 있습니다!<br>힘내세요!"""
NpcComMsg2#0,"""이번 임무에서는 A.I.S나<br>소켓 정화를 사용할 수 없으니<br>주의가 필요합니다!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
a5#0,"""슈퍼 하드 수주 허가증 소지"""
