Title#0,"""Base Defense: Despair"""
Explanation#0,"""This is an emergency message for all ARKS.<br>Mass Darker readings have been detected<br>at the mining base on planet Lillipa.<br>Corruption of the base has already begun.<br>The situation is becoming desperate.<br>Use the newly-developed A.I.S. defense<br>system to intercept the Darkers.<br>――――――――――――――――――――<br>Clear 8 waves<br>Failure: All Bases lost"""
SimpleExplanation#0,"""Defend the Mining Base!"""
Wave1_Talk#0,"""The Darkers have arrived! They're<br>corrupting the Defense Sockets too...<br>Please, work together to defeat them!"""
Wave2_Talk#0,"""Presence of Darker Cannons is<br>confirmed! Activate your A.I.S.<br>and force the enemy to retreat!"""
Wave3_Talk#0,"""There's an unconfirmed reading in<br>the sky! Something may be coming...<br>Please, be careful!"""
Wave4_Talk#0,"""We have readings coming<br>from multiple locations! Be<br>careful not to get surrounded!"""
Wave5_Talk#0,"""New readings detected!<br>Darker Cannons may also<br>appear! Keep an eye out!"""
Wave6_Talk#0,"""Such a huge reading...<br>Hopefully, this is the last of<br>it. Either way, good luck!"""
Wave7_Talk#0,"""W-W-Wha!? What is this?!<br>This is the first time we've seen such a powerful<br>enemy reading! Please be very careful!"""
Wave8_Talk#0,"""Another powerful enemy<br>has appeared! This is the<br>last wave though, I'm sure<br>of it! Please, do your best!"""
Wave1_Talk_Cool#0,"""It seems a lot of crystals are gathering<br>in the four corners of the area! Use a<br>Catapult to get to them quickly!"""
Wave2_Talk_Cool#0,"""If left alone, corrupted sockets<br>will generate Darker Cannons.<br>Keep an eye out for them!"""
Wave3_Talk_Cool#0,"""You have multiple functions available<br>to use to defend the Bases! Don't<br>forget to use Health Recovery and<br>Burst Barriers when you have to!"""
Wave4_Talk_Cool#0,"""Look! The crystals' shine seems to be<br>brighter! Keep increasing your points!"""
Wave5_Talk_Cool#0,"""Remember to purify infected sockets...<br>If you don't, the corruption will grow.<br>Get ready for the next attack!"""
Wave6_Talk_Cool#0,"""There's a large reading incoming!<br>Is your A.I.S. ready? Don't forget<br>about the Photon Particle Cannon!"""
Wave7_Talk_Cool#0,"""Excellent work! I think that was all...<br>Huh? Wait a moment. There's...<br>some sort of reading coming..."""
Wave8_Talk_Cool#0,"""Collect as many crystals as you can<br>before the next attack comes! This<br>next reading looks very dangerous!"""
NpcComMsg1#0,"""We will begin the operation shortly.<br>It looks like the corruption has already<br>spread, so please be very careful!"""
NpcComMsg2#0,"""If it gets too dangerous, try using your<br>A.I.S. to repel the Darkers. Good luck!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
