Title#0,"""T:채굴 기지 방어전: 절망"""
Explanation#0,"""아크스 각원에게 긴급 연락.<br>행성 리리파의 채굴 기지 주변에서<br>강력한 다수의 다커 반응을 확인했다.<br>이미 침식이 진행되어 절망적인 상황이다.<br>하지만 우리는 포기할 수 없다.<br>거점 방어를 위해 새로 개발된<br>A.I.S를 활용해 다커를 요격하라.<br>――――――――――――――――――――<br>총 8 웨이브<br>실패 조건/모든 거점 함락"""
SimpleExplanation#0,"""채굴 기지를 방어하라!"""
Wave1_Talk#0,"""다커가 출현했습니다!<br>방어 소켓의 침식도 확인됐어요.<br>모두 한꺼번에 해치워 주세요!"""
Wave2_Talk#0,"""다커 입자 포대를 확인했습니다!<br>A.I.S를 호출해서<br>적을 격퇴해 버리죠!"""
Wave3_Talk#0,"""상공에서 미확인 반응을 확인했습니다!<br>무언가 나타날지도 몰라요.<br>조심해 주세요!"""
Wave4_Talk#0,"""여러 곳에서 반응이 나타납니다!<br>동시에 습격당하지 않도록<br>경계하고 또 경계해 주세요!"""
Wave5_Talk#0,"""또 새로운 반응이에요!<br>다커 월도 발생할지<br>모릅니다!\u3000각별히 주의해 주세요!"""
Wave6_Talk#0,"""이번이 마지막……이라기에는<br>아직 반응이 남아 있는 것 같은데요……?<br>어, 어쨌든 힘내 주세요!"""
Wave7_Talk#0,"""와앗, 와아앗!?\u3000이게 뭐죠!<br>이렇게 강력한 적성 반응은 처음입니다!<br>정말, 정말 조심해 주세요!"""
Wave8_Talk#0,"""또 엄청나게 강력한 적이<br>오는 것 같아요!\u3000하지만 이번이<br>분명 마지막일 거예요!\u3000힘내 주세요!"""
Wave1_Talk_Cool#0,"""정결정은 에어리어 네 귀퉁이에<br>많이 나타나는 것 같아요!\u3000카타펄트를<br>사용하면 쉽게 회수할 수 있습니다!"""
Wave2_Talk_Cool#0,"""침식된 소켓을 내버려 두면<br>다커 입자 포대가 발생할지도 몰라요.<br>주의해 주세요!"""
Wave3_Talk_Cool#0,"""이 채굴 기지에는 사용할 수 있는 기능이<br>아주 많아요!\u3000버스트 배리어와<br>내구도 회복도 활용해 주세요!"""
Wave4_Talk_Cool#0,"""오옷!\u3000정결정의 빛이 조금<br>강해진 것 같아요!<br>계속해서 회수하죠!"""
Wave5_Talk_Cool#0,"""침식이 진행되는 것 같아요……<br>지금 침식된 소켓을 정화하고<br>다음 습격에 대비하죠!"""
Wave6_Talk_Cool#0,"""다음 반응은 큰 것 같아요!<br>A.I.S 준비는 괜찮나요?<br>포톤 입자포도 잊지 마세요!"""
Wave7_Talk_Cool#0,"""수고하셨습니다!\u3000<br>이것으로 방어 종료…… 어라?<br>잠깐만요. 지금 무언가 반응이……"""
Wave8_Talk_Cool#0,"""다음 습격이 오기 전에 정결정을<br>많이 회수해 두세요!<br>이번 반응은 정말 위험합니다!"""
NpcComMsg1#0,"""잠시 후 작전을 시작합니다!\u3000이미 침식이<br>상당히 진행된 것 같으니<br>각별히 조심해 주세요!"""
NpcComMsg2#0,"""이럴 때는 A.I.S로<br>적을 쓸어 버리죠!<br>그럼, 무운을 빌게요!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
