Title#0,"""Base Defense: Invasion"""
Explanation#0,"""This is an emergency message for all ARKS.<br>Mass Darker readings have been detected<br>at the mining base on planet Lillipa.<br>They're preparing to launch a series of<br>offensives against the base.<br>Defending that base is our top priority.<br>Hold out until the attack is over.<br>――――――――――――――――――――<br>Clear 6 waves<br>Failure: All Bases lost"""
SimpleExplanation#0,"""Defend the Mining Base!"""
Wave1_Talk#0,"""Darkers have appeared! It's still<br>unclear which Base they will attack.<br>Work together to defend the Base!"""
Wave2_Talk#0,"""Here comes the next Darker<br>attack! Everyone, work<br>together to defend the Base!"""
Wave3_Talk#0,"""U-unidentified readings! I think the<br>Darkers are bringing out the big guns!<br>Locate and destroy their weapons!"""
Wave4_Talk#0,"""Wh-whoa, these are incredibly<br>strong readings...! Looks like the<br>enemies are being strengthened!<br>Please use extra caution!"""
Wave5_Talk#0,"""Wh-whoa, these are incredibly<br>strong readings...! Massive<br>Darkers may show up soon!"""
Wave6_Talk#0,"""This seems to be the last one!<br>Hang on just a bit longer!<br>Keep protecting that Base!"""
NpcComMsg1#0,"""We'll begin shortly! Based on these<br>readings, the Darkers will be attacking<br>in multiple waves. Please be careful!"""
NpcComMsg2#0,"""You can solidify your defenses by<br>using the energy from dropped<br>crystals. Good luck! Over and out!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
