Title#0,"""T:채굴 기지 방어전: 침입"""
Explanation#0,"""아크스 각원에게 긴급 연락.<br>행성 리리파의 채굴 기지 주변에서<br>다수의 다커 반응을 확인했다.<br>새로 설치된 방호벽 덕분에<br>모든 기지의 동시 습격은 피할 수 있지만<br>방호벽의 내구력에도 한계가 있다.<br>각원은 다커의 침입을 저지하고 격퇴하라.<br>――――――――――――――――――――<br>총 6 웨이브<br>실패 조건/모든 거점 함락"""
SimpleExplanation#0,"""채굴 기지를 방어하라!"""
Wave1_Talk#0,"""다커가 출현했습니다!<br>어느 거점이 습격당할지 알 수 없습니다.<br>힘을 합쳐 거점을 방어해 주세요!"""
Wave2_Talk#0,"""다음 다커가 습격해 왔습니다!<br>서로 상황을 알리며<br>협력해서 방어해 주세요!"""
Wave3_Talk#0,"""미, 미확인 반응이 있습니다!<br>다커 병기가 출현할 것 같아요!<br>발견하는 즉시 파괴해 주세요!"""
Wave4_Talk#0,"""와앗!<br>강한 적성 반응이 여러 개 확인됐어요!<br>주의해 주세요!"""
Wave5_Talk#0,"""와앗, 엄청나게 강한 반응이에요……!<br>대형 다커가 출현할지도<br>모릅니다!"""
Wave6_Talk#0,"""이번이 마지막인 것 같아요!<br>조금만 더 버티면 됩니다!<br>어떻게든 거점을 끝까지 지켜 주세요!"""
NpcComMsg1#0,"""잠시 후 작전을 시작합니다!<br>반응을 보니 다커가 몇 번이고<br>습격해 올 것 같아요! 주의해 주세요!"""
NpcComMsg2#0,"""떨어진 정결정의 에너지를 사용하면<br>방어를 강화할 수도 있어요!<br>이상, 연락 끝입니다!\u3000무운을 빌게요!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
