Title#0,"""T:넷키의 도전장!"""
Explanation#0,"""아크스 여러분!<br>내 도전을 받아 보지 않을래?<br>VR 공간에 재현한 행성 리리파의 채굴 기지.<br>다가오는 다른 행성의 에너미로부터<br>모든 거점을 지켜 내는 특별한 퀘스트야!<br>A.I.S는 사용 금지, 다른 제한도 여러 가지인<br>고난도 퀘스트를 과연 이겨 낼 수 있을까!<br>――――――――――――――――――――<br>총 6 웨이브<br>실패 조건/모든 거점 함락"""
SimpleExplanation#0,"""채굴 기지를 방어하라!"""
Wave1_Talk#0,"""에너미가 나타날 거야!<br>맵으로 상황을 확인하면서<br>거점을 지켜 줘!"""
Wave2_Talk#0,"""솔저 브라다에게 침식된<br>방어 소켓은 사용할 수 없게 돼!<br>그 전에 쓰러뜨릴 수 있을까!"""
Wave3_Talk#0,"""A.I.S 엑소더와 다커 입자 포대도<br>슬슬 나설 차례인 것 같네!<br>맞서 싸울 준비는 됐어?"""
Wave4_Talk#0,"""강력한 에너미가 나타날 거야!<br>거점을 지키기 위해 침공하는 에너미를<br>모두 섬멸해 줘!"""
Wave5_Talk#0,"""제타 그랑조를 발견하면<br>우선해서 쓰러뜨리는 게 좋아!<br>마지막까지 내버려 두면 큰일이거든!"""
Wave6_Talk#0,"""자, 마지막 싸움이야!<br>너희가 이 공격을 버텨 낼 수 있을까?"""
Wave1_Talk_Cool#0,"""자!\u3000퀘스트 시작이야!<br>다가오는 에너미로부터 거점을 지켜 줘!"""
Wave2_Talk_Cool#0,"""제법 하는데!<br>하지만 다음 웨이브는 더 힘들 거야!<br>소켓 방어는 괜찮아?"""
Wave3_Talk_Cool#0,"""정결정을 모으면 거점 단말기와<br>방어 소켓의 기능을 사용할 수 있어.<br>많이 모아서 잘 활용해 줘!"""
Wave4_Talk_Cool#0,"""다음 웨이브에 나오는 에너미들은<br>지금까지와 움직임이 조금 달라!<br>어느 거점을 노릴지 알아맞힐 수 있을까?"""
Wave5_Talk_Cool#0,"""슬슬 나도 진심으로 갈게!<br>비장의 에너미들을<br>꺼내 놓을 테니까!"""
Wave6_Talk_Cool#0,"""다음이 마지막 웨이브야!<br>이제부터 총력전이니<br>단단히 준비해 둬!"""
NpcCom00#0,"""NPC 통신: 쿨타임 시작 Type9"""
NpcCom01#0,"""이번 승부는 내 승리네!<br>다음 도전도 기다리고 있을게!"""
NpcCom02#0,"""이번 승부는 내 완패야!<br>믿을 수 없을 만큼 강하구나!"""
NpcCom03#0,"""이번 승부는 내가 졌어!<br>다음 도전에서는 설욕할 테니까!"""
NpcCom04#0,"""이번 승부는 내가 진 것 같네?<br>하지만 다음에는 반드시 이길 거야!"""
NpcCom05#0,"""조금만 더 하면 내가 이겼는데……<br>다음에는 꼭 이길 테니까!"""
NpcCom06#0,"""자, 강력한 에너미의 등장이야!<br>거점을 제대로 지켜 낼 수 있을까?"""
NpcCom07#0,"""$(0) 거점의 내구도가 줄고 있네!<br>주의하는 게 좋지 않을까?"""
NpcCom08#0,"""$(0) 거점이 곧 파괴되겠어!<br>끝까지 잘 지켜 보라고!"""
NpcCom09#0,"""이제 나타날 에너미는<br>성능이 강화되어 있어!<br>거점을 지켜 낼 수 있을까?"""
NpcCom10#0,"""쉴 틈은 없어!<br>아직 에너미가 더 올 테니까!"""
NpcCom11#0,"""남은 에너미는 얼마 없어……<br>하지만 승부는 지금부터야!"""
NpcCom12#0,"""에너미의 마지막 공격이야!<br>막지 않으면 거점이 파괴될 거야!"""
NpcCom12_Wave05#0,"""에너미의 마지막 공격이야!<br>막지 않으면 거점이 파괴될 거야!"""
NpcCom12_Last#0,"""훌륭해!<br>이것으로 내 도전은 끝이야!"""
NpcCom13#0,"""남은 거점은 하나야!<br>너희가 끝까지 지켜 낼 수 있을까?"""
NpcCom14#0,"""남은 거점은 둘이야!<br>모두 역할을 나눠 끝까지 지켜 줘!"""
NpcCom15#0,"""NPC 통신: 거점 파괴 시 남은 거점 3개 Type9"""
NpcCom16#0,"""NPC 통신: 거점 파괴 시 남은 거점 4개 Type9"""
barricade0#0,"""NPC 통신: 제1 방어선 바리케이드 파괴 시 Type9"""
barricade1#0,"""NPC 통신: 제2 방어선 바리케이드 파괴 시 Type9"""
barricade2#0,"""NPC 통신: 최종 방어선 바리케이드 파괴 시 Type9"""
NpcComMsg1_Meritta#0,"""잠시 후 전송을 시작합니다!<br>지중 탐사정으로 다크 펄스 【약인】이 있는<br>곳으로 향해 주세요!"""
NpcComMsg2_Meritta#0,"""그리고 신형 포톤 입자포는<br>에너지 탱크가 핵심이에요!<br>파괴되지 않도록 지켜 주세요!"""
NpcComMsg1#0,"""내 도전을 받아 줘서 고마워!<br>지금부터 시작할 건<br>VR로 재현한 방어전이야!"""
NpcComMsg2#0,"""내가 고른 에너미들이<br>세 개의 거점을 향해 침공할 거야!"""
NpcComMsg3#0,"""총 6 웨이브가 끝났을 때<br>거점이 무사하면 너희 승리야!<br>마지막까지 포기하지 말고 힘내!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
