un_010090_0010#0,"""요,<br><%me>.<br>잘 지내고 있냐?"""
un_010090_0020#0,"""괜찮으면 에코 좀<br>데려가 줘라."""
un_010090_0030#0,"""자, 잠깐만, 제노!<br>갑자기 무슨 소리를 하는 거야!<br>나도 같이 갈 거니까!"""
un_010090_0040#0,"""…너 방금 \""가기 싫어!\""라고<br>하던 참이었잖아.<br>말을 분 단위로 뒤집지 좀 마라…"""
un_010090_0050#0,"""되도록 안 가고 싶다는 뜻이야!<br>제노가 기어이 가겠다면<br>…어쩔 수 없잖아."""
un_010090_0060#0,"""아니 그러니까<br>무리해서 따라오지 말고<br>좀 기다려 주면…"""
un_010090_0070#0,"""안 돼! 같이 가는 거야!<br>안 그러면 얼마나 무리할지<br>알 수가 없단 말이야!"""
un_010090_0080#0,"""…예이 예이."""
un_010090_0090#0,"""<%me><br>미안하다, 뭐 그런 모양이다."""
un_010090_0100#0,"""허세인지 뭔진 모르겠지만<br>참 성가시네…<br>진심으로 너한테 떠넘기고 싶다."""
un_010090_0110#0,"""자, 제노, 가자!<br><%me>한테<br>너무 폐 끼치면 안 돼!"""
un_010090_0120#0,"""…누가 할 소린지."""
