un_012330_0005#0,"""【異文化交流】<br>仮テキスト"""
un_012330_0010#0,"""어라, 너구나.<br>오늘도 탐험하는 건가? 부지런하네."""
un_012330_0020#0,"""〔<%me>〕<br>〔전에는〕〔신세를 졌다〕<br>〔다시 한 번〕〔감사를〕"""
un_012330_0030#0,"""어라, 아는 사이야?<br>그럼 굳이 소개하지 않아도 되겠네."""
un_012330_0040#0,"""아니 뭐 이 아이랑은 예전부터<br>친하게 지내고 있어.<br>용족의 문화를 배우게 됐지."""
un_012330_0050#0,"""〔나도〕〔아직 미숙한 몸〕<br>〔여러가지 견문을〕〔전해 듣고〕<br>〔내 몸의〕〔양식으로 삼고싶다〕"""
un_012330_0060#0,"""이 아이와는 이해관계가<br>일치하는 말동무야.<br>이 아이가 말하는 모든 것이 신선하고<br>엄청나게 유익해."""
un_012330_0070#0,"""응? 라이트?<br>아아 걔라면……"""
un_012330_0080#0,"""〔나의〕〔모습에 겁먹고〕〔도망쳤다〕<br>〔조금〕〔아쉬웠다〕"""
un_012330_0090#0,"""정말이지, 남자란 생각이 안 들 정도야.<br>여자의 모습을 보고 도망치다니<br>무례하기 짝이 없지."""
un_012330_0100#0,"""〔하지만〕〔아키와의 대화는〕〔의미가 있다〕<br>〔흥미롭고〕〔즐거워〕"""
un_012330_0110#0,"""하하, 그건 영광스럽네.<br>그래…… 그럼 다음엔<br>남성관과 여성관에 대한 얘기를 나눌까."""
un_012330_0120#0,"""〔흥미로워〕〔들려줘〕"""
un_012330_0130#0,"""그런 의미에서 우리는 지금 당분간<br>대화에 열중해야겠어.<br>그럼 안녕."""
