ra_010550_0010#0,"""안녕,<br><%me>."""
ra_010550_0020#0,"""자넨 조사 중인가, 탐색 중인가?<br>이쪽은 용족과 협의를 계속하는 중이라네."""
ra_010550_0030#0,"""라이트는 툭하면 무섭다느니 어쩌느니<br>시끄러워서 이번엔 두고 왔다네."""
ra_010550_0040#0,"""연구자에게 약한 소리와 불안은<br>쓸모없다고 가르쳐 왔건만<br>학습 능력 없는 조수라니까, 정말."""
ra_010550_0050#0,"""여기서 만난 것도 인연이니.<br>정보 교환이나 하지 않겠나."""
ra_010550_0060#0,"""흐음, 『긍지』라…<br>그거 참, 참으로…"""
ra_010550_0070#0,"""…아아, 알고 있네.<br>알고 있고말고.<br><%me>."""
ra_010550_0080#0,"""용족에겐 용족 나름의 역사와 규칙이 있어.<br>시시하다, 라고 한마디로 단정할 순<br>없겠지."""
ra_010550_0090#0,"""하지만 그래도 굳이 말하자면.<br>터무니없을 정도로, 시시하군."""
ra_010550_0100#0,"""긍지나 자존심을 비웃을 생각은 없지만<br>그게 목숨을 빼앗는다면 이야기가 달라."""
ra_010550_0110#0,"""본인에게 후회는 없을지언정<br>후세에 엄청난 영향을 끼친다…<br>…그건 용납할 수 없어!"""
ra_010550_0120#0,"""실례했네, 좀 흥분하고 말았군.<br>사과의 뜻이라긴 뭐하지만<br>이쪽에서도 정보 하나를 주지."""
ra_010550_0130#0,"""용족에게는 여러 부족이 존재하고<br>각각 『히』나 『코』 같은<br>호칭을 갖고 있다는 건 알고 있겠지."""
ra_010550_0140#0,"""부족에 따른 계급 구분으로<br>용족 사회가 성립되어 있지만<br>그중에서도 특별한 존재가 있어."""
ra_010550_0150#0,"""그 부족의 이름이 바로 『로』다.<br>모든 용족이 무조건 따르는<br>절대적인 일족이라더군."""
ra_010550_0160#0,"""왜 떠받드는지는 모르겠지만<br>그만한 절대적 존재라면<br>말만 통하면 모든 게 해결될 거야…"""
ra_010550_0170#0,"""모습도 모르고, 어디 있는지도 몰라.<br>하지만 그래도 찾아내야만 해."""
ra_010550_0180#0,"""『로』의 일족이 용족을 다스린다면<br>그 책임을 다해야 할 때는<br>바로 지금이니까."""
ra_010550_0190#0,"""A.P.238/3/23"""
