ra_010530_0010#0,"""ああ、くそっ！<br>また逃げられたではないか！"""
ra_010530_0020#0,"""せ、先生、先生っ。<br>僕に八つ当たりしないでください。"""
ra_010530_0030#0,"""仕方がないですよ。<br>いきなり被検体になれ、は<br>お願いとして無理がありますって……"""
ra_010530_0040#0,"""そんな悠長なことを言っていられる<br>時期ではないというのに……"""
ra_010530_0050#0,"""……ん、ああ。<br><%me>くん。"""
ra_010530_0060#0,"""いや、龍族に協力を求めているんだが<br>なかなか応じてくれなくてね。"""
ra_010530_0070#0,"""今みたいな無視はまだマシです……<br>いきなり襲いかかってくることも<br>あるんですから。"""
ra_010530_0080#0,"""もうやめましょうよ先生。<br>命がいくつあっても足りないですよ。"""
ra_010530_0090#0,"""だが、放っておけば<br>この惑星の命全てが喰われるのだよ。"""
ra_010530_0100#0,"""ダーカーの侵食は、龍族が考えている<br>病などとは、わけが違うぞ。<br>惑星全体に広がり、命を蝕むものだ。"""
ra_010530_0110#0,"""だが、閉鎖的な彼らは<br>それは外宇宙のことだと<br>聞く耳を持たない。"""
ra_010530_0120#0,"""取り返しのつかないことになる前に<br>なんとか龍族の長……ロの一族に出会い<br>協力を取り付けなければ……"""
ra_010530_0130#0,"""……すまない、愚痴になったな。<br>何か新しい情報が手に入ったら<br>改めてキミにも連絡しよう。ではな。"""
ra_010530_0140#0,"""失礼します！"""
ra_010530_0150#0,"""A.P.238/3/21"""
