un_061170_0010#0,"""¡<%me>!<br>Parece que Kyokuya te ha estado investigando recientemente."""
un_061170_0020#0,"""Incluso ha accedido a la base de datos... ¿Qué está pasando con él?"""
un_061170_0030#0,"""...Alto."""
un_061170_0040#0,"""¡Eek!... ¡Perdonenme!"""
un_061170_0050#0,"""...<%me>.<br>Me vi obligado a mirar tu pasado."""
un_061170_0060#0,"""Un héroe que salvó al mundo...<br>Verdaderamente digno de ser una leyenda.<br>Eres la esperanza de todo ARKS..."""
un_061170_0070#0,"""Sin embargo... Si cae una esperanza tan vasta... Se transforma en una desesperación igualmente vasta."""
un_061170_0080#0,"""Si la fuente de las esperanzas y sueños de todos se desvaneciera... ¿Has considerado lo que podría suceder entonces?"""
un_061170_0090#0,"""<%me>...<br>No deberías haberte convertido en su esperanza."""
un_061170_0100#0,"""Nunca deberías haber existido en absoluto."""
un_061170_0110#0,"""...Ahórrate el rencor, guardián. Incluso si llegaras a tu fin ahora... No los salvaría de su desesperación."""
un_061170_0120#0,"""Debes hacer tu mejor esfuerzo para sobrevivir. Para ellos... Como la esperanza de todos los ARKS."""
un_061170_0130#0,"""¿Qué... Paralizado de miedo? Muy bien. Entonces, para ayudarte a sobrevivir..."""
un_061170_0140#0,"""Te otorgaré mi temible \""Canto\""!"""
un_061170_0150#0,"""O \""Sombra\"", oscuridad abisal que ahoga la \""Luz\"". ¡Conviértete en mi poder, conviértete en el colmillo que enamora al, PHANTOM!..."""
un_061170_0160#0,"""...¿Bien?"""
un_061170_0170#0,"""Fue una Cancion muy temible."""
un_061170_0180#0,"""No se como responder..."""
un_061170_0190#0,"""Humhumhum... Puedes poseer las creaciones de un Phantom. Muy bien, te iluminaré."""
un_061170_0200#0,"""Hmhmhm... ¿Afectada por el miedo? Por el conocimiento de Phantom... Muy bien, te iluminaré."""
un_061170_0210#0,"""Si Hero es la clase de \""poder\""... Phantom es la clase de \""ejecución\""."""
un_061170_0220#0,"""No te equivoques. Nuestra fuerza no proviene de la ejecución física o técnica, sino del poder del gran verdugo de las \""Sombras\""."""
un_061170_0230#0,"""Pero supongo que no necesitas que te lo digan. ¿Lo usarás? Este poder de \""Oscuridad\""..."""
un_061170_0240#0,"""La voluntad de utilizar todos los medios a mano y salir victorioso. Para convertirse en un verdadero Phantom... Uno debe \""resolver\"" eso."""
un_061170_0250#0,"""Escucha una vez más. A la \""oscuridad\"" dentro de ti..."""
un_061170_0260#0,"""...Tiene una perspectiva del mundo tan interesante como siempre."""
un_061170_0270#0,"""Aún así, me dieron ganas de cantar también. Kyokuya realmente es temible..."""
