un_062030_0010#0,"""¿Has oído hablar de esa nueva clase, Phantom?"""
un_062030_0020#0,"""Por lo que escuché, son una clase que opera en la 'sombra' de los ARKS..."""
un_062030_0030#0,"""Probablemente no estén relacionados con Void, pero todavía me molesta un poco. Aunque solo soy yo."""
un_062030_0040#0,"""Parece que los superiores lo ven como algo necesario..."""
un_062030_0050#0,"""Pero creo que estamos mejor sin ARKS involucrados en asuntos cuestionables."""
un_062030_0060#0,"""Me convertí en una 'sombra' voluntariamente, y llevé a cabo ese tipo de cosas... Pero no puedo aceptarlo."""
un_062030_0070#0,"""Ese camino... solo lleva a más tristeza..."""
un_062030_0080#0,"""...Tal vez sería más fácil preguntarle directamente."""
un_062030_0090#0,"""Hmph, Entonces te diste cuenta de mi presencia."""
un_062030_0100#0,"""Entonces, solo para asegurarme... Viniste hasta aquí para escuchar una de mis canciones, ¿verdad?"""
un_062030_0110#0,"""...No seas tonta."""
un_062030_0120#0,"""Entonces, preguntaré de nuevo. ¿Por qué elegiste vivir como una 'sombra'? No hay nada para ti más que tristeza."""
un_062030_0130#0,"""Este mundo que forjo al Hero, la clase de luz... naturalmente ha arrojado una sombra."""
un_062030_0140#0,"""La luz es demasiado brillante para mí. Así que he elegido vivir como una sombra... Ya sea triste o no, es mi decisión."""
un_062030_0150#0,"""¿Entonces estás diciendo que serás feliz si te conviertes en la 'sombra' para apoyar a la 'luz'...?"""
un_062030_0160#0,"""Cuando el poder de la sombra no es suficiente, te tragara por completo... Perderás la vida."""
un_062030_0170#0,"""...Impresionante, Adjunto de la División de Información. Parece que no eres una simple figura decorativa."""
un_062030_0180#0,"""Pero me pregunto si alguien que parpadea entre la luz y la oscuridad podría prevalecer sobre uno tan lleno de sombras como yo...."""
un_062030_0190#0,"""...Ciertamente, parece que has hecho grandes esfuerzos para obtener ese poder."""
un_062030_0200#0,"""Hahahah... ¿Esfuerzos, dices? No me hagas reír."""
un_062030_0210#0,"""Tales tonterías... Para alguien tan naturalmente dotado como yo, que nació para caminar por el camino de la sombra, no es necesario."""
un_062030_0220#0,"""¿No buscaste otros caminos? Seguir el camino de la 'sombra' te llevará a lastimar a las personas cercanas a ti en el camino."""
un_062030_0230#0,"""Es un camino desprovisto de amor... desprovisto de conocer el amor de otro. ¿Realmente entiendes eso?"""
un_062030_0240#0,"""Hahah... Hablas cosas absurdas. La sombra llega a estar donde la luz no llega. Los dos nunca convergen."""
un_062030_0250#0,"""Aquellos que solo conocen el mundo de la luz caen más profundamente en la desesperación cuanto más aprenden de las sombras... Al acercarse a ellos, los deja profundamente empañados."""
un_062030_0260#0,"""Por lo tanto... La sombra nunca ha tenido la capacidad de amar, o de ser amado, desde el principio."""
un_062030_0270#0,"""Dudas de mi decisión de seguir este camino, pero no estoy en el principio... Estoy en el final."""
un_062030_0280#0,"""Tu resolución y la tristeza que soportas... Esas son la raíz de la sombra."""
un_062030_0290#0,"""...No puedo empezar a imaginar la tristeza que tú mismo soportas..."""
un_062030_0300#0,"""Pero las sombras no te quedan bien. Posees el poder de calmar y otorgar felicidad... Esa es una luz sin igual."""
un_062030_0310#0,"""Hmph... He dicho demasiado. Adiós."""
un_062030_0320#0,"""¿Qué pasa con él? ¡Esa no es forma de hablarle a la numero 0 del Consejo!"""
un_062030_0330#0,"""Pero, entiendo lo que quiso decir. Mantiene a las personas a distancia porque no quiere lastimarlas."""
un_062030_0340#0,"""Además, podra negarlo, pero estoy segura de que trabaja increíblemente duro."""
un_062030_0350#0,"""Debe tener una motivacion muy fuerte para querer lograr cualquier cosa sin importar lo que cueste... ¡Muy bien, le daré una oportunidad!"""
