un_062080_0010#0,"""How awful, how terrible! I will not accept this!"""
un_062080_0020#0,"""Stop acting like a child... Ah, <%me>.<br>Pay no mind to Katori."""
un_062080_0030#0,"""Dearest <%me>! How can Phantom be so popular with nary an advertisement in sight?!"""
un_062080_0040#0,"""Wait! Don't tell me... Was this affliction forced upon them by an Abyss...!"""
un_062080_0050#0,"""Just ignore her ramblings."""
un_062080_0060#0,"""Everyone is donning strange nicknames as well!"""
un_062080_0070#0,"""It is somewhat strange for a class that makes no efforts to promote itself to reach the same level of recognition as the others."""
un_062080_0080#0,"""Saga and myself have put our hearts and souls and very beings into spreading the good name of Bouncer!"""
un_062080_0090#0,"""But it was all for naught! What do you think of this injustice?"""
un_062080_0100#0,"""Phantom has its charms."""
un_062080_0110#0,"""It's kinda cool."""
un_062080_0120#0,"""Bouncer possesses charm aplenty! How have Phantom's proliferated so profusely without a single ounce of effort!"""
un_062080_0130#0,"""\""Kinda cool\""! Such an ambiguous reason?!"""
un_062080_0140#0,"""It is unfathomable! To think of all the time and effort Stratos put into the Hero class..."""
un_062080_0150#0,"""...Advertising? How foolish."""
un_062080_0160#0,"""Wh-wh-wh-when did you get behind me?!"""
un_062080_0170#0,"""Any fool drawn to Phantom by pretty promises would inevitably drown in their own regret, and fall to ruin..."""
un_062080_0180#0,"""I did not sense you before just now. What fearsome skill..."""
un_062080_0190#0,"""You are the Phantom class representative... I believe Kyokuya was your name."""
un_062080_0200#0,"""It was you! What schemes are you plotting by not advertising in the slightest?!"""
un_062080_0210#0,"""Ah! Could it be... Was it your plan all along to capture the interest of the ARKS by not advertising?!"""
un_062080_0220#0,"""...Foolishness."""
un_062080_0230#0,"""It is not foolish! Class publicity is important!"""
un_062080_0240#0,"""Stratos worked so hard to gain recognition... And that is why Hero has flourished!"""
un_062080_0250#0,"""...And that was utter foolishness."""
un_062080_0260#0,"""Speaking ill of Stratos's hard work is unforgivable!"""
un_062080_0270#0,"""I apologize for Katori's outburst. However, one thing is bothering me."""
un_062080_0280#0,"""What did you mean before, by \""drown in their own regret, and fall to ruin\""?"""
un_062080_0290#0,"""...Precisely as I said. Phantom is wholly uninterested in lip service. Those who lack resolve are unfit."""
un_062080_0300#0,"""If one who is not prepared to abandon justice is persuaded to become a Phantom... They will inevitably fall under the weight of their grief and despair."""
un_062080_0310#0,"""Conversely, those who realize that not all problems can be settled with \""justice\"", will naturally find themselves walking the path of Phantom."""
un_062080_0320#0,"""They are the only ones fit to bear its name. That is what I meant..."""
un_062080_0330#0,"""In other words, you only want the best of the best to join. Unlike Hero, where word was spread wide and greatness later achieved."""
un_062080_0340#0,"""...Its reason for existing is different from that of Hero. Phantom exists to accomplish what<br>\""justice\"" cannot..."""
un_062080_0350#0,"""Those who lack the resolve are a hindrance. You may have them if you wish... Farewell."""
un_062080_0360#0,"""Wh-, wh-... What an unbelievable man! The arrogance! The hubris!"""
un_062080_0370#0,"""That man possesses strong resolve... He shows promise, but presents an equal danger... You should be on your guard."""
un_062080_0380#0,"""Ah...! Could it be his overbearing haughtiness is the secret to his popularity?!"""
un_062080_0390#0,"""It has been decided! I must reach the apotheosis of arrogance at once!"""
un_062080_0400#0,"""...Even fewer people will come to us."""
