un_061040_0001#0,"""A.P.242/2/13"""
un_061040_0010#0,"""¡<%me>! ¿Recuerdas ese extraño ARKS que te atacó de la nada?..."""
un_061040_0020#0,"""¡<%me>さーん！"""
un_061040_0030#0,"""¿Has oído las noticias? ¡Se ha establecido una nueva clase!"""
un_061040_0040#0,"""Su nombre es... ¡\""Phantom\""!"""
un_061040_0050#0,"""Y adivina qué más, el entrenador de Phantom es...<br>¡Uno de mis amigos de la infancia!"""
un_061040_0060#0,"""Stratos. Un Hero no debería hablar de los Phantoms...<br>Es impropio."""
un_061040_0070#0,"""...¿Hm? Tú también estás aquí, Guardián."""
un_061040_0080#0,"""¿Huh?, <%me>, ¿Cómo?, ¿Ya se conocían?"""
un_061040_0090#0,"""No somos cercanos. Pero eso me recuerda, que todavía tengo que presentarme. Me llamo..."""
un_061040_0100#0,"""Kyokuya, \""Black Wolf\"". Soy el representante de la clase Phantom, Harías bien en recordar eso."""
un_061040_0110#0,"""Encantado de conocerte, Kyokuya."""
un_061040_0120#0,"""¿Para qué es el Black Wolf?"""
un_061040_0130#0,"""Olvidaste el \""Black Wolf\""... Grabalo en tu corazón."""
un_061040_0140#0,"""Oh...¿Ha despertado tu interés? Sin embargo, aun no es la hora... Llegará el día en que se te avisará de ello."""
un_061040_0150#0,"""Oh, es verdad. ¡Cuéntanos hacerca del Phantom, Kyo!"""
un_061040_0160#0,"""¡Mi nombre es Kyokuya!, ¡No me nombres con apodos desagradables!"""
un_061040_0170#0,"""¿Queeee, porque no? Te he estado llamando así desde que éramos niños. Ademas tu eres..."""
un_061040_0180#0,"""...Silencio. No tengo ninguna intención de ponerme de acuerdo con los \""Héroes \"" que se ciegan a sí mismos de la verdad con su justicia.."""
un_061040_0190#0,"""¿Qué estas diciendo? Los héroes protegen las esperanzas y la paz de todos."""
un_061040_0200#0,"""...Que tonta. ¿Todavía no te has dado cuenta... De que tu justicia no tiene sentido?"""
un_061040_0210#0,"""Lo que un Phantom ve es la realidad. Sus objetivos se cumplen independientemente de tales nociones triviales... Como la justicia y el mal."""
un_061040_0220#0,"""Ooh... Eres tan malo Kyo. Solías ser un niño tan agradable..."""
un_061040_0230#0,"""Gh... ¡Bueno! Preguntaste sobre Phantom. Te lo explico."""
un_061040_0240#0,"""Para tener éxito como un Phantom, uno debe actuar como si fueras una \""Sombra\"". Lo más importante es el concepto de \""acción evasiva.\""."""
un_061040_0250#0,"""Quien domine esa habilidad se vuelve capaz de evitar los ataques entrantes y tomar represalias con contraataques fuertes."""
un_061040_0260#0,"""Además, los Photon Arts poseen un poder oculto para ellos... Deben emplearse de acuerdo con la situación."""
un_061040_0270#0,"""No olvidemos la \""Decadencia\"". La verdadera fuerza de Phantom... Se muestra cuando se enfrenta a los que sufren la decadencia."""
un_061040_0280#0,"""Bailando entre las sombras y haciendo un uso adecuado de ambos lados de su ofensiva, ahogando a los enemigos forjados con decadencia por miedo..."""
un_061040_0290#0,"""Al igual que un espíritu... Ese es el estilo de lucha del Phantom."""
un_061040_0300#0,"""Eso escupe en la cara de la justicia. ¡Atacar a un enemigo fuerte de frente en una batalla gloriosa es la única manera!"""
un_061040_0310#0,"""...Guardian. ¿Compartes los sentimientos de Stratos?, ¿Es la justicia el único ideal que vale la pena aferrarse?..."""
un_061040_0320#0,"""La justicia es todo lo que importa"""
un_061040_0330#0,"""No es necesariamente el único camino."""
un_061040_0340#0,"""Hmph, ya veo... Creí que eras capaz de entender, pero parece que te he sobreestimado."""
un_061040_0350#0,"""¿Ho? ...Estaba seguro de que simpatizarías con Stratos, pero parece que eres capaz de hacer tus propios juicios."""
un_061040_0360#0,"""...Muéstrame si estás preparado para descartar tu justicia y convertirte en un espíritu con tus acciones."""
un_061040_0370#0,"""...¡Adiós!."""
un_061040_0380#0,"""¡Kyo! Eso fue tan grosero... ¡Sólo los cobardes huyen!"""
un_061040_0390#0,"""<%me>... Lo siento mucho por todo eso..."""
un_061040_0400#0,"""De hecho, recordando el pasado... En aquel entonces, los tres éramos buenos amigos... Pero algo sucedió."""
un_061040_0410#0,"""Por ese algo, yo... Cerré mi corazón. Estaba inconsolable, y ni siquiera hablaba."""
un_061040_0420#0,"""Kyo intentó todo tipo de cosas para animarme... Pero nada funcionó."""
un_061040_0430#0,"""Creo que se hartó de mí. Él ha actuado así desde entonces... Debe odiarme."""
un_061040_0440#0,"""¡Pero realmente no es una mala persona! Él podría actuar así... ¡Pero el realmente tiene un buen corazón!"""
un_061040_0450#0,"""Así que... ¡Por favor no pienses mal de él!, ¡Perdónalo!"""
un_061040_0460#0,"""<%me>. Mi informe se interrumpió, pero creo que entiendes la situación ahora."""
un_061040_0470#0,"""El representante de la nueva clase \""Phantom\"". Podemos asumir que Kyokuya te atacó antes para medir tu poder. probablemente."""
un_061040_0480#0,"""Siempre estás contribuyendo al desarrollo de nuevas clases, por lo que debes haber llamado su atención."""
un_061040_0490#0,"""Aún así, si él y Stratos son amigos... ¡Eso los hace rivales!"""
name01#0,"""？？？"""
