un_062090_0010#0,"""Kyo, ¡Eso fue injusto! ¿Por qué no te detuviste incluso después de que pregunté?"""
un_062090_0020#0,"""Hmhmhm, La injusticia es un ajuste perfecto. El camino que tomo para alcanzar mis objetivos no importa... Si puedo forzar una resolución, lo haré."""
un_062090_0030#0,"""Eso va demasiado lejos... ¿No te importan mis sentimientos? Kyo... ¡Idiota!"""
un_062090_0040#0,"""...Para. ¿Por qué soy el blanco de una mirada tan fría como el cero absoluto?, ¿Por qué tienes tanta animosidad hacia mí?"""
un_062090_0050#0,"""Kyo está equivocado aquí. ¿No es así?, ¿<%me>?"""
un_062090_0060#0,"""Kyo tiene la culpa."""
un_062090_0070#0,"""Ambos tienen la culpa."""
un_062090_0080#0,"""Imposible... ¿Podría haber cometido un error?..."""
un_062090_0090#0,"""Tienes razón... Lo siento por hacer tal escena en público..."""
un_062090_0100#0,"""...Debería explicar lo que pasó. Anteriormente, me dirigí al planeta Amduscia para una supresión de Dragonkins Infectados."""
un_062090_0110#0,"""Los monstruos eran extremadamente duros... Pero tenía la intención de enfrentarlos de frente, luchando hasta el final en nombre de la justicia."""
un_062090_0120#0,"""...Tontería. ¿Qué fue exactamente lo que ganaste?"""
un_062090_0130#0,"""Mis aliados estaban... Gravemente heridos, solo estaba enfocada en lo que tenía delante. Cuando fui atacada por detrás, me acorralaron..."""
un_062090_0140#0,"""Perdí la concentración y no mantuve mis ataques... Pero los enemigos fueron derrotados uno por uno... Y la batalla terminó."""
un_062090_0150#0,"""Kyo había usado su habilidad Phantom de descomposición. Aunque le dije que no..."""
un_062090_0160#0,"""¿Lo que dijo ella? Sus órdenes fueron derrota a los Dragonkin. No tenía nada que ver con la justicia."""
un_062090_0170#0,"""La culpa recae en usted, cuya obsesión con lo que comprende la justicia causó lesiones a otros. ¿Es eso lo que debe hacer un héroe?"""
un_062090_0180#0,"""E-Eso... No..."""
un_062090_0190#0,"""Los héroes protegen a las personas con el poder de la justicia. Nunca se rinden... Esa es tu convicción. Sin embargo, las fuertes convicciones debilitan el corazón."""
un_062090_0200#0,"""¿Podría su corazón soportar una situación en la que se enfrenta a la imposibilidad de salvar a un ser querido con su justicia?"""
un_062090_0210#0,"""La justicia ha nublado tu visión... Debes ser capaz de decidir por ti mismo lo que es correcto."""
un_062090_0220#0,"""Debes proteger tu propio corazón. No deseo dar testimonio de eso otra vez..."""
un_062090_0230#0,"""Kyo... No te preocupes, no soy la misma persona que era en ese entonces."""
un_062090_0240#0,"""Cuando no pueda lograr mi justicia, seré salvada por los ellos... Lo sé."""
un_062090_0250#0,"""Bueno entonces... <%me>, ¡Me disculpo por causar tal conmoción!, ¡Hasta que nos encontremos de nuevo!."""
