un_061020_0001#0,"""A.P.242/2/12"""
un_061020_0010#0,"""<%me> 씨！<br>뒤예요！"""
un_061020_0020#0,"""……느리군."""
un_061020_0030#0,"""그 능력과 몸놀림……<br>역시 네가 수호휘사인가."""
un_061020_0040#0,"""네가…… 그 녀석을……"""
un_061020_0050#0,"""왜 아크스가<br><%me> 씨를 공격하는 거죠！？<br>지금 지원을 보내겠습니다！"""
un_061020_0060#0,"""……확실히 능력은 있군.<br>이쯤 되면 운명에 사로잡혔다고<br>해도 되겠어."""
un_061020_0070#0,"""하지만 그 능력은……<br>그 녀석에게…… 그 녀석들에게 절망을 가져다줄 거다."""
un_061020_0080#0,"""만일 네 존재가 절망으로 변하는 날이 오면……<br>나는 절대로 용서하지 않겠다."""
un_061020_0090#0,"""그 말을 가슴 깊이 새겨 둬라……<br>그럼 이만."""
un_061020_0100#0,"""……반응이 사라졌습니다.<br>추적할 수 없어요."""
un_061020_0110#0,"""공격받기 직전까지도<br>반응을 전혀 감지하지 못했습니다.<br>무언가 기척을 느끼셨나요？"""
un_061020_0120#0,"""기척을 지운 걸까요？<br>아무튼 무사해서 다행이에요."""
un_061020_0130#0,"""하지만 저 사람의 전투 방식은……<br>현재 허가된 어느 클래스에도<br>해당하지 않습니다."""
un_061020_0140#0,"""대체 뭐였을까요……？"""
