un_061050_0010#0,"""……！<br>뭐야, 너였나."""
un_061050_0020#0,"""잘 들어라. 이제 올 녀석이<br>「“검은 늑대”를 못 봤냐？」고<br>물을 거다."""
un_061050_0030#0,"""그럼 이렇게 답해라……<br>「“검은 늑대”라면 못 봤다」<br>……그렇게 말해라. 그럼 이만."""
un_061050_0040#0,"""기다려요오！"""
un_061050_0050#0,"""아, 안녕하세요！<br>쿄 못 보셨어요！？"""
un_061050_0060#0,"""“검은 늑대”라면 못 봤어"""
un_061050_0070#0,"""쿄라면 봤어"""
un_061050_0080#0,"""봤잖아요！<br>「검은 늑대」라고 부르는 건<br>쿄 본인뿐이라고요！"""
un_061050_0090#0,"""정말 감사합니다！<br>쿄라면 분명<br>입막음했을 줄 알았어요！"""
un_061050_0100#0,"""그럼 아직 이 근처에 있겠네요……<br>좋았어！"""
un_061050_0110#0,"""거기 서요！ 쿄오！<br>이제 그만 나오세요오！<br>나올 때까지 계속 부를 거예요！"""
un_061050_0120#0,"""큭……"""
un_061050_0130#0,"""기척을 지워도 소용없어요！<br>쿄의 행동 방식쯤은<br>전부 알고 있으니까요."""
un_061050_0140#0,"""자, 가르쳐 주세요……<br>히어로의 싸움 방식에 부족한 게<br>대체 뭔가요……？"""
un_061050_0150#0,"""……싫다. 스스로 생각해라."""
un_061050_0160#0,"""사흘 밤낮을 안 자고 생각했어요！<br>그래도 떠오르지 않으니까 이렇게<br>부탁하는 거잖아요……"""
un_061050_0170#0,"""“그림자”가 “빛”을 비출 수는 없다.<br>내가 가르칠 수 있는 건 아무것도 없어."""
un_061050_0180#0,"""그렇지 않아요！<br>어릴 때는 저한테 공부를<br>자주 가르쳐 줬잖아요！"""
un_061050_0190#0,"""제가 이해하기 쉽도록<br>여러 가지 예를 들어 설명해 줘서<br>정말 잘 가르친다고 루코도……"""
un_061050_0200#0,"""……루코？<br>누구지, 그 녀석은."""
un_061050_0210#0,"""네……？<br>무, 무슨 말을 하는 거예요……<br>루코가 들으면 화낼 거예요！"""
un_061050_0220#0,"""죽은 녀석 따위 잊었다.<br>너도 빨리 잊어라."""
un_061050_0230#0,"""주, 죽지 않았어요！<br>지금도 어딘가에서 살아……"""
un_061050_0240#0,"""그렇다면 지금 당장 데려와라！<br>내가 그 녀석을 죽여 주마！"""
un_061050_0250#0,"""왜, 왜……<br>그렇게 끔찍한 말을 하는 거예요？"""
un_061050_0260#0,"""아무리 힘든 일이 있어도 우리 셋이<br>힘을 모으고 서로 믿기로<br>약속했잖아요……"""
un_061050_0270#0,"""알 게 뭐냐！<br>그 배신자가 우리에게 무슨 짓을 했는지<br>잊은 건 아니겠지！"""
un_061050_0280#0,"""무슨 일이 있었어？"""
un_061050_0290#0,"""루코가 누구야？"""
un_061050_0300#0,"""말려들게 해서 죄송해요.<br>우리의 옛날 이야기예요……"""
un_061050_0310#0,"""루코는…… 루코트라는<br>또 한 명의 소중한 친구예요."""
un_061050_0320#0,"""우리 셋은 소꿉친구예요.<br>함께 배우고 웃던 가장 친한 친구였죠."""
un_061050_0330#0,"""그러다 아크스가 된 루코는<br>손님 대접을 좋아하는 다정한 메이드가 됐어요.<br>저도 그런 루코를 정말 좋아했어요."""
un_061050_0340#0,"""하지만…… 지금으로부터 5년 전.<br>한 사건이 일어났어요."""
un_061050_0350#0,"""어느 날 루코가 저와 쿄에게<br>「도시 외곽의 낡은 저택으로 와 주세요」<br>라는 초대장을 보냈어요."""
un_061050_0360#0,"""이유는 적혀 있지 않아서<br>조금 이상하다고 생각했지만……<br>다음 날 우리는 저택으로 향했어요."""
un_061050_0370#0,"""그런데 저택에는 아무도 없었고……<br>그날부터 루코는 행방불명……<br>연락이 완전히 끊겼어요."""
un_061050_0380#0,"""우리는 필사적으로 행방을 쫓았지만<br>결국 아크스 데이터베이스에는<br>반응 소실로 사망 처리됐어요……"""
un_061050_0390#0,"""아무도 없던 정도가 아니었다.<br>그 녀석은 우리를 저택으로 유인해<br>함정에 빠뜨리고 죽이려 했다！"""
un_061050_0400#0,"""그럴 리 없어요！<br>저택으로 부른 것도 모습을 감춘 것도<br>분명 무슨 이유가 있었을 거예요！"""
un_061050_0410#0,"""흥…… 글쎄.<br>헛된 희망은 품지 마라……<br>스스로 목을 조르게 될 거다."""
un_061050_0420#0,"""알고 있어요…… 그래도."""
un_061050_0430#0,"""손님 대접을 중요하게 여기던 루코가<br>우리에게 그런 짓을 했다고는<br>도저히…… 생각할 수 없어요."""
un_061050_0440#0,"""게다가 루코는 캐스트라서<br>정말 힘도 세고 튼튼해요.<br>분명 살아 있어요！"""
un_061050_0450#0,"""그러니까 전 포기하지 않을 거예요！<br>언젠가 루코가 돌아오면<br>웃으며 「어서 와」라고 말할 거예요！"""
