name_7030#0,"""쿠이카"""
msn_023022_0010#0,"""안녕, 와줬구나."""
msn_023022_0020#0,"""나는 쿠이카.<br>취미로 할파의 수수께끼를 조사하고 있어."""
msn_023022_0030#0,"""뭐어, 루시에란이 오고 나서부터<br>대부분은 \""해명\""되었지만…."""
msn_023022_0040#0,"""하지만, 아직 모르는 것이 있다!<br>라고 생각해."""
msn_023022_0050#0,"""그래서 \""가디언\""인 너에게<br>도움을 받으려고 하는 거야."""
msn_023022_0060#0,"""지금 궁금한 건,<br>서부 리템의 사간 산길."""
msn_023022_0070#0,"""자세한 건 현장에 도착하면 설명해 줄게."""
msn_023022_0080#0,"""그럼,<br>잘 부탁해~"""
msn_023022_0110#0,"""우선 사간 산길로 가주지 않을래?<br>자세한 건 현장에 도착하면 설명해 줄게."""
msn_023022_0120#0,"""그럼,<br>잘 부탁해~"""
msn_023022_0210#0,"""또 하나의 수수께끼가 있어!<br>다음에는 미스트라 수림에 가보았으면 해!"""
msn_023022_0220#0,"""잘 부탁해~"""
