Title#0,"""T:해방된 강철의 위신"""
Explanation#0,"""행성 지구 일본 근해에서<br>거대한 환창종 반응을 확인했다.<br>환창종은 도시 지역으로 침공을 시작했으며<br>이대로 방치하면 현실 세계에도<br>큰 피해가 발생할 것으로 예상된다.<br>아크스 각원은 즉시 현지로 향해<br>목표를 격파하고 침공을 저지하라.<br>――――――――――――――――――――<br>실패 조건/제한 시간 경과"""
SimpleExplanation#0,"""환창전함 야마토를 격퇴하라!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
NpcComMsg1#0,"""지금부터 태평양 특정 해역에서 감지된<br>초거대 반응의 요격 작전을 시작합니다."""
NpcComMsg2#0,"""먼저 목표의 이동 수단을 봉쇄합니다.<br>출격 후 A.I.S로 신형 동결탄을 수송해<br>목표를 주변 바다와 함께 얼립니다."""
NpcComMsg3#0,"""그 후 목표를 단숨에 격파해 주세요.<br>다만 목표의 무장 상태로 보아 상당한<br>반격이 예상됩니다… 조심하세요."""
NpcComMsg1#1,"""목표가 비행을 시작했습니다.<br>도시 지역에 접근하기 전에<br>신속히 격파해야 합니다."""
NpcComMsg2#1,"""A.I.S의 새 장비 「하이 부스트」를 활용해<br>목표에 접근하여 격파해 주세요.<br>무운을 빕니다!"""
Area0S#0,"""일본 근해"""
Area0L#0,"""행성 지구\u3000일본 근해"""
Area1S#0,"""일본 근해"""
Area1L#0,"""행성 지구\u3000일본 근해"""
