Title#0,"""Unleashed Prestige"""
Explanation#0,"""惑星・地球の日本近海において<br>巨大な幻創種の反応を確認した。<br>幻創種は、都市部へと侵攻を開始しており<br>このまま放置すれば、現実の世界にも<br>大きな被害が出ることが予測される。<br>アークス各員は、至急現地へと赴き<br>目標を撃破し、その侵攻を阻止せよ。<br>――――――――――――――――――――<br>Quest Clear Limit / 2 Times<br>Failure / Time limit expiration"""
SimpleExplanation#0,"""Destroy the Phantom Battleship Yamato!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
NpcComMsg1#0,"""We'll begin an interceptive assault on the super-massive reaction detected in the Pacific Ocean."""
NpcComMsg2#0,"""First, we'll utilize a new frozen projectile, using an A.I.S. sortie,to halt the target from moving."""
NpcComMsg3#0,"""After that, begin your assault and head towards the target. Considering on how armed it is, a counter-attack is expected. Please be careful."""
NpcComMsg1#1,"""You must destroy the target before it can reach urban areas on shore."""
NpcComMsg2#1,"""Deploy the A.I.S and use its new \""Hi-Boost\"" to quickly reach and destroy the target!"""
Area0S#0,"""Japanese Coastal Waters"""
Area0L#0,"""Earth - Japanese Coastal Waters"""
Area1S#0,"""Japanese Coastal Waters"""
Area1L#0,"""Earth - Japanese Coastal Waters"""
