Title#0,"""대해에 나타난 강철의 거함"""
Explanation#0,"""행성 지구의 일본 근해에서<br>거대 환창종 반응이 재발생했다.<br>그 반응은 이전보다 훨씬 강력하며<br>본 임무 수행엔 큰 위험을 동반하게 될 것이<br>추측된다. 그렇기에 본 임무 출격은<br>실적있는 아크스만 한정하겠다.<br>――――――――――――――――――――<br>퀘스트 클리어 가능 횟수/$(0)회<br>랭킹 기간/임무 발생부터 1시간 30분<br>실패 조건/제한 시간 경과"""
SimpleExplanation#0,"""환창전함 야마토를 격퇴하라!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 보유"""
a4#0,"""슈퍼 하드 수주 허가증 보유"""
NpcComMsg1#0,"""재출현한 목표는 도시를 향해<br>이미 이동을 개시했습니다.<br>그다지 시간에 여유는 없어요."""
NpcComMsg2#0,"""재차 A.I.S로 출격해<br>목표를 격퇴해주세요.<br>연전이 되겠지만, 조심하세요."""
Area0S#0,"""일본 근해"""
Area0L#0,"""행성 지구\u3000일본 근해"""
Area1S#0,"""일본 근해"""
Area1L#0,"""행성 지구\u3000일본 근해"""
