Title#0,"""T: Asalto magistral"""
Explanation#0,"""Se ha confirmado la reaccion de un<br>Phantom de gran tamaño en las aguas<br>de Japón del planeta Tierra. Intentaremos<br>colocar una barrera en el área para que<br>no llegue a los sectores avitados.<br>se le pide a todos los ARKS su coperacion.<br>――――――――――――――――――――<br>Limite maximo de daño/999.999<br>Fracaso: Finaliza el tiempo limite."""
SimpleExplanation#0,"""Destruye el Phantasmal Battleship Yamato!"""
a1#0,"""Completar cierta orden del cliente."""
a2#0,"""Completar cierta orden del cliente."""
a3#0,"""Poseer la licencia para Super Difícil."""
a4#0,"""Poseer la licencia para Super Difícil."""
NpcComMsg1#0,"""A partir de esto, comenzaremos una<br>operación interceptiva de reacciones<br>super-gigantes detectadas en el<br>Océano Pacífico."""
NpcComMsg2#0,"""En primer lugar, voy a sellar los<br>movimientos del objetivo.<br>Después con los A.I.S se transportará<br>un nuevo tipo de bala que congelará el objetivo junto a las aguas cercanas."""
NpcComMsg3#0,"""Después de eso, destruyan el objetivo.<br>Sin embargo, se esperan contraataques considerables desde<br>el acorazado...<br>Tengan cuidado."""
NpcComMsg1#1,"""El objetivo es comenzar el duelo.<br>Antes de que llegue a la zonas urbanas,<br>Debe ser destruido tan pronto como sea posible."""
NpcComMsg2#1,"""Acérquense y destruyan el objetivo<br>con el nuevo equipo [Hi-boost]<br>implementado en los A.I.S<br>¡Rezo por su exito!"""
Area0S#0,"""Aguas costeras de Japon"""
Area0L#0,"""Planeta Tierra - Aguas costeras de Japon"""
Area1S#0,"""Aguas costeras de Japon"""
Area1L#0,"""Planeta Tierra - Aguas costeras de Japon"""
