Title#0,"""위풍당당한 강철의 진격"""
Explanation#0,"""행성 지구의 일본 근해에서<br>강력한 거대 환창종 반응을 확인했다.<br>거대 환창종은 도시로 이동을 시작했으며<br>이대로 방치하면 현실 도시에서<br>큰 피해가 예상된다.<br>아크스는 각자 목표의 침공을 저지하라.<br>――――――――――――――――――――<br>퀘스트 클리어 가능 횟수/$(0)회<br>최대 부여 데미지 제한/999999<br>실패 조건/제한 시간 경과"""
SimpleExplanation#0,"""환창 전함 야마토를 격퇴하라!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 보유"""
a4#0,"""슈퍼 하드 수주 허가증 보유"""
NpcComMsg1#0,"""지금부터 태평양 특정 해역에서 탐지된<br>초 거대 반응의 요격 작전을 개시합니다."""
NpcComMsg2#0,"""먼저 목표의 이동 수단을 봉인합니다.<br>출격 후 A.I.S로 신형 동결탄을 수송해<br>목표 근처를 바다째로 동결시킵니다."""
NpcComMsg3#0,"""그 후 목표를 단번에 격파해주세요.<br>단, 목표의 무장 상황을 보면 상당한<br>반격이 예상됩니다……조심하세요."""
NpcComMsg1#1,"""목표는 비행을 개시했습니다.<br>도시로 접근하기 전에<br>시급히 격파해야해요."""
NpcComMsg2#1,"""A.I.S의 신 장비 「하이 부스트」를 구사해<br>목표로 접근, 격파해주세요.<br>무운을 빌게요!"""
Area0S#0,"""일본 근해"""
Area0L#0,"""행성 지구 일본 근해"""
Area1S#0,"""일본 근해"""
Area1L#0,"""행성 지구 일본 근해"""
