name_7405#0,"""슈라프트"""
ssn_015220_0001#0,"""좋아, 의욕이 있나보네.<br>바로 설명에 들어가지."""
ssn_015220_0002#0,"""너는 트레이니아 어드밴스 중 하나인<br>\""오디널 타워\""를 알고 있나?"""
ssn_015220_0003#0,"""트레이니아 어드밴스는<br>말 그대로 상위 트레이니아다.."""
ssn_015220_0004#0,"""각 시설마다 훈련 내용은 크게 다르다."""
ssn_015220_0005#0,"""그 중에서도 \""오디널 타워\""는<br>그 필드에 특징이 있다."""
ssn_015220_0006#0,"""일반적인 트레이니아 공간 외에<br>할파 각지의 지형이 가상 공간에서 재현된다."""
ssn_015220_0007#0,"""그 안에서 강력한 에너미와 대치하는 것이다."""
ssn_015220_0008#0,"""게다가 더욱 빠르게<br>확실하게 정리하는 것이 요구된다."""
ssn_015220_0009#0,"""순수하게 너의 아크스로서의 실력을<br>시험받는 뜻이다."""
ssn_015220_0010#0,"""장비를 갖추고 도전해 봐!"""
