name_7211#0,"""ชานดี้ (Xiandy)"""
ssn_019410_002_0010#0,"""ขอบคุณที่มานะ"""
ssn_019410_002_0020#0,"""ที่เรียกมา ก็เพราะอยากจะขอให้ช่วยตรวจสอบ<br>ปรากฏการณ์ที่กำลังเกิดขึ้นอยู่น่ะ"""
ssn_019410_002_0030#0,"""ความจริงก็คือ จำนวนศัตรูในทุกพื้นที่ของฮาลฟา (Halpha)<br>ดูเหมือนจะมีแนวโน้มเพิ่มขึ้นนะ"""
ssn_019410_002_0040#0,"""โดยเฉพาะศัตรูที่มีสัญลักษณ์เฉพาะของช่วงเวลานี้<br>มีคนพบเห็นอยู่ตามที่ต่างๆ เต็มไปหมดเลยล่ะ"""
ssn_019410_002_0050#0,"""เพื่อนำมาวิเคราะห์สถานการณ์,<br>อยากจะขอให้ช่วยรวบรวมข้อมูลหน่อยได้ไหม?"""
ssn_019410_002_0060#0,"""อยากให้ส่งข้อมูลตอนที่<br>ต่อสู้กับศัตรูที่มีสัญลักษณ์นั้นมาให้น่ะ"""
ssn_019410_002_0070#0,"""ยังไงก็ฝากด้วยนะ"""
ssn_019410_002_0080#0,"""...อ้อ ใช่แล้ว<br>เรื่องนี้ไม่ได้เกี่ยวกับการขอให้ช่วยตรวจสอบหรอกนะ"""
ssn_019410_002_0090#0,"""สนใจพวกสิ่งมีชีวิตน่ารักๆ ไหมล่ะ<br>ตอนนี้มีคำขอความร่วมมือในการสำรวจระบบนิเวศจากห้องวิจัยข้างๆ มาน่ะ"""
ssn_019410_002_0100#0,"""ถ้าเกิดว่าสนใจล่ะก็,<br>ลองไปคุยกับโนอัน (Noan) นักวิจัยสภาพแวดล้อมฮาลฟา (Halpha) ดูสิ"""
ssn_019410_002_0110#0,"""เรื่องที่อยากจะบอกก็มีแค่นี้แหละ<br>ถ้าอย่างนั้น จะรอข้อมูลนะ"""
ssn_019410_002_0900#0,"""กำลังเร่งตรวจสอบการเปลี่ยนแปลงของศัตรูในช่วงเวลานี้อยู่นะ"""
ssn_019410_002_0910#0,"""ต่อให้เป็นข้อมูลเล็กน้อยแค่ไหน,<br>ถ้าเอามาให้ได้ก็จะช่วยได้มากเลยล่ะ"""
npc_menu_0010#0,"""แลกเปลี่ยนแต้มเทศกาล (จนถึง $(0))"""
npc_menu_0020#0,"""แลกเปลี่ยนแต้มเทศกาลครั้งก่อน (จนถึง $(0))"""
npc_menu_0030#0,"""แลกเปลี่ยนแร่ (จนถึง $(0))"""
npc_menu_0040#0,"""รีไซเคิลไอเทม (จนถึง $(0))"""
npc_menu_0050#0,"""ถามเกี่ยวกับกิจกรรมเทศกาล"""
npc_menu_0060#0,"""ปิดเมนู"""
npc_menu_1010#0,"""เกี่ยวกับกิจกรรมเทศกาล"""
npc_menu_1020#0,"""เกี่ยวกับศัตรูช่วงเทศกาล"""
npc_menu_1030#0,"""เกี่ยวกับ 【เผ่า Lillipan】"""
npc_menu_1040#0,"""เกี่ยวกับ Regional Mags ช่วงเทศกาล"""
npc_menu_1050#0,"""เกี่ยวกับ 【Randomite】"""
npc_menu_2000#0,"""ไม่เป็นไร"""
