Title#0,"""Techter Basics"""
Explanation#0,"""■Training Program<br>――――――――――――――――――――<br>Task 1: Wand Gear training<br>Task 2: Using Resta<br>Task 3: Using Zanverse<br>Task 4: Using Zondeel<br>Task 5: Live combat"""
SimpleExplanation#0,"""Complete 5 tasks!"""
Training1#0,"""Attack with a tech-explosion"""
Training2#0,"""Restore HP with Resta"""
Training3#0,"""Inflict Extra Damage with Zanverse"""
Training4#0,"""Gather Enemies with Zondeel"""
Training5#0,"""Defeat the Enemies"""
Retry_1#0,"""Task 1"""
Retry_2#0,"""Task 2"""
Retry_3#0,"""Task 3"""
Retry_4#0,"""Task 4"""
Retry_5#0,"""Task 5"""
