Title#0,"""Ranger Basics"""
Explanation#0,"""■Training Program<br>――――――――――――――――――――<br>Task 1: Photon Art Just Attacks<br>Task 2: Using Weak Bullet<br>Task 3: Using Launchers in shoulder view<br>Task 4: Live combat"""
SimpleExplanation#0,"""Complete 4 tasks!"""
Training1#0,"""Perform a Just Attack PA"""
Training2#0,"""Attack a Weak Marker"""
Training3#0,"""Attack All Enemies Simultaneously"""
Training4#0,"""Defeat the Enemies"""
Retry_1#0,"""Task 1"""
Retry_2#0,"""Task 2"""
Retry_3#0,"""Task 3"""
Retry_4#0,"""Task 4"""
