Title#0,"""Dual Blade Basics"""
Explanation#0,"""■Training Program<br>――――――――――――――――――――<br>Task 1: Weapon Action training<br>Task 2: Dual Blade Gear training<br>Task 3: Live combat<br><br>※For training purposes, your Gear gain<br>rate will be adjusted during this quest."""
SimpleExplanation#0,"""Complete 3 tasks!"""
Training4_1#0,"""Block an enemy attack with Parry"""
Training4_2#0,"""Hit an enemy with Step Edge"""
Training6_1#0,"""Attack enemies and fill the Gear Gauge"""
Training6_2#0,"""Use Connect on the enemy"""
Training6_3#0,"""Use Full Connect on the enemy"""
Training9_2#0,"""Defeat all enemies!"""
Retry_1#0,"""Task 1"""
Retry_2#0,"""Task 2"""
Retry_3#0,"""Task 3"""
Retry_4#0,"""Task 4"""
Retry_5#0,"""Task 5"""
Retry_6#0,"""Task 6"""
Retry_7#0,"""Task 7"""
Retry_8#0,"""Task 8"""
Retry_9#0,"""Task 9"""
Retry_10#0,"""Task 10"""
