Title#0,"""Wand Basics"""
Explanation#0,"""■Training Program<br>――――――――――――――――――――<br>Task 1: Weapon Action training<br>Task 2: Wand Gear training<br>Task 3: Live combat<br><br>※For training purposes, your Gear gain<br>rate will be adjusted during this quest."""
SimpleExplanation#0,"""Complete 3 tasks!"""
Training7_1#0,"""Use a PA on an enemy"""
Training7_3#0,"""Use an enhanced-power PA on an enemy"""
Training7_4#0,"""Block an attack with Charge Protect"""
Training8_1#0,"""Fill the Gear Gauge to maximum"""
Training8_2#0,"""Use Protect Release"""
Training9_2#0,"""Defeat all enemies!"""
Retry_1#0,"""Task 1"""
Retry_2#0,"""Task 2"""
Retry_3#0,"""Task 3"""
Retry_4#0,"""Task 4"""
Retry_5#0,"""Task 5"""
Retry_6#0,"""Task 6"""
Retry_7#0,"""Task 7"""
Retry_8#0,"""Task 8"""
Retry_9#0,"""Task 9"""
Retry_10#0,"""Task 10"""
